fraction,seed,coop_alive,adv_alive,clustering,polarization,coop_energy,adv_energy,cooperation
0.00,42,19.0,0.0,3.48,0.1769,11.8,0.0,713654
0.00,1039,20.0,0.0,5.58,0.1769,7.4,0.0,526360
0.00,2036,20.0,0.0,11.65,0.1769,11.8,0.0,752134
0.00,3033,19.0,0.0,8.92,0.1769,13.9,0.0,749797
0.00,4030,20.0,0.0,5.11,0.1769,6.7,0.0,499556
0.00,5027,17.0,0.0,7.85,0.1769,9.7,0.0,739181
0.00,6024,20.0,0.0,14.35,0.1769,82.9,0.0,335345
0.00,7021,20.0,0.0,12.72,0.1769,15.6,0.0,758631
0.00,8018,16.0,0.0,8.74,0.1769,6.4,0.0,785606
0.00,9015,20.0,0.0,4.53,0.1769,9.8,0.0,854904
0.05,42,19.0,1.0,7.50,0.2481,4.1,0.4,622456
0.05,1039,19.0,1.0,4.00,0.2481,6.9,2.0,568389
0.05,2036,19.0,1.0,12.46,0.2481,11.5,0.6,748787
0.05,3033,19.0,1.0,9.84,0.2481,12.6,2.5,727369
0.05,4030,17.0,1.0,13.06,0.2481,9.5,0.3,758058
0.05,5027,17.0,1.0,9.71,0.2481,7.4,0.3,722994
0.05,6024,19.0,0.0,20.94,0.2481,7.4,0.0,648617
0.05,7021,19.0,1.0,11.53,0.2481,11.5,2.2,743612
0.05,8018,19.0,1.0,8.86,0.2481,9.0,0.4,765985
0.05,9015,19.0,1.0,3.48,0.2481,12.7,1.2,833388
0.10,42,18.0,2.0,14.09,0.3119,8.3,2.1,606668
0.10,1039,18.0,2.0,4.42,0.3119,6.3,0.9,597547
0.10,2036,18.0,2.0,11.41,0.3119,8.0,3.2,730176
0.10,3033,18.0,2.0,9.71,0.3119,6.1,5.4,715989
0.10,4030,17.0,1.0,15.00,0.3119,10.3,0.4,737664
0.10,5027,18.0,2.0,9.84,0.3119,10.4,2.0,695820
0.10,6024,18.0,2.0,10.80,0.3119,11.7,3.1,720091
0.10,7021,18.0,2.0,3.78,0.3119,13.4,4.5,791269
0.10,8018,18.0,2.0,8.16,0.3119,10.8,1.6,743733
0.10,9015,18.0,2.0,4.11,0.3119,11.8,1.7,817381
0.15,42,17.0,3.0,12.02,0.3614,6.5,2.3,517169
0.15,1039,15.0,3.0,4.16,0.3614,8.4,4.8,536423
0.15,2036,17.0,3.0,11.06,0.3614,11.1,5.2,713310
0.15,3033,17.0,3.0,8.10,0.3614,7.9,2.7,672413
0.15,4030,13.0,2.0,13.24,0.3614,10.8,3.7,710404
0.15,5027,15.0,3.0,8.62,0.3614,6.4,3.6,683355
0.15,6024,17.0,3.0,10.45,0.3614,5.6,2.3,690872
0.15,7021,17.0,3.0,11.16,0.3614,10.7,4.1,700596
0.15,8018,15.0,3.0,9.10,0.3614,5.5,3.5,719912
0.15,9015,14.0,3.0,3.43,0.3614,10.6,3.9,787022
0.20,42,14.0,4.0,9.92,0.3920,7.5,4.2,726459
0.20,1039,14.0,4.0,3.65,0.3920,6.1,3.2,580520
0.20,2036,14.0,4.0,11.04,0.3920,8.3,6.2,710477
0.20,3033,16.0,2.0,9.88,0.3920,8.1,1.7,686427
0.20,4030,16.0,4.0,3.36,0.3920,12.2,3.3,776646
0.20,5027,16.0,4.0,8.44,0.3920,10.5,4.3,671758
0.20,6024,16.0,4.0,19.86,0.3920,7.4,1.1,605930
0.20,7021,16.0,4.0,11.73,0.3920,8.4,3.1,696638
0.20,8018,16.0,4.0,7.75,0.3920,12.6,4.8,715240
0.20,9015,16.0,4.0,3.03,0.3920,10.4,6.8,791854
0.25,42,15.0,5.0,10.03,0.4362,5.4,7.8,706568
0.25,1039,15.0,5.0,5.65,0.4362,8.2,4.0,564995
0.25,2036,15.0,5.0,11.39,0.4362,11.6,7.4,697958
0.25,3033,12.0,4.0,9.91,0.4362,3.9,3.6,669564
0.25,4030,14.0,4.0,13.75,0.4362,9.3,5.7,707018
0.25,5027,14.0,4.0,8.60,0.4362,6.7,4.6,668034
0.25,6024,13.0,5.0,11.18,0.4362,11.6,5.6,670483
