condition,seed,tick,collective_phi,joules_per_phi,alive,avg_energy,clustering
FULL,42,0,0.0980,0.104905,12,200.00,12.04
FULL,42,100,0.1023,453.493594,12,167.08,7.88
FULL,42,200,0.1085,1235.060898,12,168.18,7.72
FULL,42,300,0.1090,2290.697689,12,168.42,7.65
FULL,42,400,0.1093,2467.362880,12,168.66,7.71
FULL,42,500,0.1096,2687.922548,12,168.89,7.75
FULL,42,600,0.1098,2955.972868,12,169.12,7.75
FULL,42,700,0.1104,3959.038044,12,169.40,7.42
FULL,42,800,0.1107,4527.987537,12,169.69,7.05
FULL,42,900,0.1106,5039.948271,12,169.98,10.15
FULL,42,1000,0.0981,38.495291,12,138.54,8.32
FULL,42,1100,0.0993,823.951138,12,135.89,8.22
FULL,42,1200,0.0998,2900.200730,12,136.43,8.11
FULL,42,1300,0.1001,3305.875620,12,136.96,8.05
FULL,42,1400,0.1004,3756.027866,12,137.49,8.03
FULL,42,1500,0.1007,4307.614707,12,138.02,8.02
FULL,42,1600,0.1009,4972.048412,12,138.54,8.01
FULL,42,1700,0.1011,5757.804050,12,139.06,8.01
FULL,42,1800,0.1013,6668.900893,12,139.58,8.01
FULL,42,1900,0.1014,7702.984841,12,140.10,8.01
FULL,42,2000,0.1016,8849.606562,12,140.62,8.01
FULL,42,2100,0.1017,10088.983509,12,141.13,8.01
FULL,42,2200,0.1018,11391.610936,12,141.65,8.01
FULL,42,2300,0.1019,12719.173442,12,142.16,8.01
FULL,42,2400,0.1020,14027.169229,12,142.68,8.01
FULL,42,2500,0.1020,15269.319890,12,143.19,8.01
FULL,42,2600,0.1021,16403.181481,12,143.70,8.01
FULL,42,2700,0.1022,17395.683759,12,144.21,8.01
FULL,42,2800,0.1022,18227.072240,12,144.72,8.01
FULL,42,2900,0.1023,18892.186458,12,145.23,8.01
FULL,42,3000,0.1023,19398.971636,12,145.74,8.01
FULL,42,3100,0.1024,19765.040323,12,146.25,8.01
FULL,42,3200,0.1024,20013.517757,12,146.76,8.01
FULL,42,3300,0.1025,20169.253504,12,147.26,8.01
FULL,42,3400,0.1025,20256.015244,12,147.77,8.01
FULL,42,3500,0.1026,20294.806047,12,148.28,8.01
FULL,42,3600,0.1027,20303.138190,12,148.78,8.01
FULL,42,3700,0.1009,123.061084,12,148.80,7.91
FULL,42,3800,0.0990,29.362074,12,148.98,9.16
FULL,42,3900,0.0910,2.705997,12,144.00,9.23
FULL,42,4000,0.0947,2.831437,12,137.72,9.13
FULL,42,4100,0.0949,33.991591,10,133.37,8.93
FULL,42,4200,0.0974,1269.170006,12,133.80,8.95
FULL,42,4300,0.0979,2190.370683,12,134.35,8.96
FULL,42,4400,0.0980,2357.041534,11,134.64,8.97
FULL,42,4500,0.0982,763.341275,12,134.95,8.99
FULL,42,4600,0.0983,658.847382,12,135.13,8.99
FULL,42,4700,0.0988,1145.553730,12,135.58,8.99
FULL,42,4800,0.0992,1225.921304,12,136.03,8.99
FULL,42,4900,0.0994,1188.573287,12,136.46,8.99
FULL,42,5000,0.0989,320.741251,12,136.49,9.01
FULL,42,5100,0.0998,1757.430214,12,136.87,8.98
FULL,42,5200,0.0996,523.633260,12,137.06,9.00
FULL,42,5300,0.0998,737.314397,12,137.17,8.99
FULL,42,5400,0.1001,1429.519503,12,137.60,8.99
FULL,42,5500,0.1001,661.599863,12,137.80,8.98
FULL,42,5600,0.0998,365.484666,12,137.91,8.98
FULL,42,5700,0.0997,307.186103,12,137.99,9.00
