episode,pos_err,att_err,free_energy,hover_fraction,final_pos_err,total_steps
0,0.60510,0.21569,0.52797,0.86900,2.44429,1000
1,0.29339,0.10944,0.52508,0.34371,0.62492,803
2,0.16062,0.05559,0.48270,0.53668,0.37502,736
3,0.24087,0.15432,0.44936,0.79613,0.95266,775
4,0.02579,0.01152,0.54375,0.84768,0.10036,302
5,0.18185,0.02842,0.58978,0.36164,0.12765,954
6,0.52669,0.16098,0.57279,0.58100,1.87041,1000
7,0.18300,0.12378,0.44607,0.39845,0.41424,645
8,0.07711,0.04683,0.49116,0.56182,0.18477,550
9,0.32870,0.10445,0.57446,0.37672,1.01415,945
10,0.22431,0.04767,0.60382,0.50700,0.68960,1000
11,0.08446,0.02997,0.51289,0.40299,0.20019,201
12,0.06315,0.07217,0.49348,0.55056,0.10417,356
13,0.67197,0.24018,0.52113,1.00000,2.71666,1000
14,0.06246,0.00622,0.54405,0.57125,0.10222,786
15,0.04475,0.03528,0.51863,0.65637,0.13748,518
16,0.04544,0.04721,0.55119,1.00000,0.22597,1000
17,0.44599,0.16989,0.58123,0.39130,1.51066,989
18,0.18466,0.08569,0.45970,0.43195,0.46001,676
19,0.04802,0.01305,0.55548,0.72595,0.13683,894
20,0.37833,0.11992,0.58916,0.54200,1.42036,1000
21,0.07973,0.02412,0.51207,0.43204,0.20015,206
22,0.06790,0.02962,0.51478,0.89444,0.12008,360
23,0.09857,0.03725,0.49578,0.77937,0.25079,630
24,0.06412,0.02515,0.51789,0.42069,0.11421,435
25,0.06351,0.03653,0.50998,0.60987,0.18096,628
26,0.07785,0.05575,0.49550,0.61119,0.31686,679
27,0.06304,0.01258,0.52340,0.83377,0.10907,385
28,0.30036,0.07659,0.60268,0.39700,1.02753,1000
29,0.03861,0.01811,0.55677,0.66234,0.10048,154
30,0.11304,0.04067,0.53237,1.00000,0.44203,1000
31,0.12513,0.04772,0.52762,1.00000,0.52109,1000
32,0.10004,0.05083,0.52153,0.85300,0.40271,1000
33,0.10467,0.02921,0.50382,0.29777,0.16709,628
34,0.16046,0.04367,0.52860,0.43266,0.39359,943
35,0.24465,0.03653,0.63019,0.31000,0.58299,1000
36,0.07462,0.01524,0.52095,0.46725,0.20103,229
37,0.09777,0.01871,0.54642,0.52838,0.15443,969
38,0.20346,0.05386,0.57841,0.35900,0.61164,1000
39,0.03810,0.01186,0.54652,0.68610,0.10058,223
40,0.07654,0.04452,0.53794,0.78300,0.34184,1000
41,0.18366,0.05372,0.52340,0.60500,0.63109,1000
42,0.07730,0.01213,0.52171,0.61111,0.11838,342
43,0.07000,0.02641,0.55503,1.00000,0.19285,1000
44,0.13746,0.03817,0.52701,0.68100,0.44726,1000
45,0.07614,0.02784,0.55286,1.00000,0.25194,1000
46,0.10881,0.03529,0.53466,1.00000,0.38887,1000
47,0.08745,0.02846,0.55941,0.46400,0.23022,1000
48,0.11201,0.04076,0.52426,1.00000,0.41192,1000
49,0.07259,0.03266,0.55077,1.00000,0.29010,1000
