step,phi,danger
0,0.100045,0.4753
1,0.097124,0.4930
2,0.092313,0.5103
3,0.088649,0.5271
4,0.088295,0.5432
5,0.110249,0.5588
6,0.109481,0.5737
7,0.108198,0.5880
8,0.106506,0.6015
9,0.104449,0.6142
10,0.102043,0.6262
11,0.099292,0.6374
12,0.096728,0.6477
13,0.096129,0.6571
14,0.096277,0.6657
15,0.096932,0.6733
16,0.097658,0.6800
17,0.098331,0.6858
18,0.098924,0.6906
19,0.099422,0.6944
20,0.099821,0.6973
21,0.100121,0.6991
22,0.100326,0.6999
23,0.100441,0.6998
24,0.100473,0.6986
25,0.100425,0.6965
26,0.100301,0.6933
27,0.100104,0.6892
28,0.099837,0.6841
29,0.099500,0.6780
30,0.099128,0.6710
31,0.099298,0.6631
32,0.099709,0.6543
33,0.100153,0.6445
34,0.100517,0.6340
35,0.100793,0.6225
36,0.100972,0.6103
37,0.101027,0.5973
38,0.100882,0.5836
39,0.100538,0.5691
40,0.100102,0.5540
41,0.099620,0.5382
42,0.099570,0.5219
43,0.100028,0.5050
44,0.101490,0.4875
45,0.102753,0.4696
46,0.103811,0.4513
47,0.104669,0.4326
48,0.105334,0.4136
49,0.105810,0.3943
50,0.106101,0.3747
51,0.106356,0.3550
52,0.107041,0.3351
53,0.107765,0.3152
54,0.108351,0.2952
55,0.109035,0.2752
56,0.110156,0.2553
57,0.111538,0.2355
58,0.112900,0.2158
59,0.114127,0.1964
60,0.115184,0.1772
61,0.116058,0.1583
62,0.116753,0.1398
63,0.117272,0.1217
64,0.117620,0.1040
65,0.117798,0.0868
66,0.117804,0.0702
67,0.117633,0.0541
68,0.117869,0.0386
69,0.118377,0.0238
70,0.118706,0.0097
71,0.118698,0.0000
72,0.118312,0.0000
73,0.117617,0.0000
74,0.118164,0.0000
75,0.120373,0.0000
76,0.122442,0.0000
77,0.124155,0.0000
78,0.125521,0.0000
79,0.126579,0.0000
80,0.127376,0.0000
81,0.127956,0.0000
82,0.128354,0.0000
83,0.128601,0.0000
84,0.128717,0.0000
85,0.128719,0.0000
86,0.128617,0.0000
87,0.128419,0.0000
88,0.128378,0.0000
89,0.128957,0.0000
90,0.129707,0.0000
91,0.130289,0.0000
92,0.130677,0.0000
93,0.130852,0.0000
94,0.130350,0.0000
95,0.129635,0.0000
96,0.128752,0.0000
97,0.127810,0.0000
98,0.127017,0.0000
99,0.126608,0.0000
100,0.126569,0.0049
101,0.126609,0.0188
102,0.126474,0.0334
103,0.126091,0.0486
104,0.125456,0.0645
105,0.124635,0.0809
106,0.124553,0.0979
107,0.125500,0.1154
108,0.126942,0.1334
109,0.128413,0.1518
110,0.129725,0.1706
111,0.130806,0.1896
112,0.131629,0.2090
113,0.132200,0.2286
114,0.132539,0.2483
115,0.132675,0.2682
116,0.132640,0.2882
117,0.132464,0.3082
118,0.132172,0.3282
119,0.131785,0.3481
120,0.131320,0.3678
121,0.130786,0.3875
122,0.130191,0.4069
123,0.129541,0.4260
124,0.129042,0.4448
125,0.129152,0.4633
126,0.129523,0.4813
127,0.129809,0.4989
128,0.128849,0.5160
129,0.127764,0.5326
130,0.126537,0.5485
131,0.125155,0.5639
132,0.123619,0.5786
133,0.121953,0.5926
134,0.120221,0.6058
135,0.118554,0.6183
136,0.117100,0.6301
137,0.115833,0.6409
138,0.114571,0.6510
139,0.113187,0.6601
140,0.111628,0.6684
141,0.109873,0.6757
142,0.107912,0.6821
143,0.105739,0.6875
144,0.103670,0.6920
145,0.101811,0.6955
146,0.100028,0.6980
147,0.098199,0.6995
148,0.098849,0.7000
149,0.099438,0.6995
150,0.099928,0.6980
151,0.100309,0.6955
152,0.100584,0.6921
153,0.100761,0.6876
154,0.100851,0.6822
155,0.100862,0.6758
156,0.100803,0.6685
157,0.100679,0.6602
158,0.100494,0.6511
159,0.100248,0.6411
160,0.099956,0.6302
161,0.099996,0.6185
162,0.100217,0.6060
163,0.100388,0.5928
164,0.100461,0.5788
165,0.100421,0.5641
166,0.100274,0.5488
167,0.100109,0.5328
168,0.100171,0.5162
169,0.101693,0.4992
170,0.103329,0.4816
171,0.104868,0.4635
172,0.106238,0.4451
173,0.107429,0.4263
174,0.108449,0.4071
175,0.109313,0.3877
176,0.110034,0.3681
177,0.110625,0.3483
178,0.111095,0.3284
179,0.111447,0.3085
180,0.111687,0.2885
181,0.112005,0.2685
182,0.112732,0.2486
183,0.113487,0.2288
184,0.114053,0.2093
185,0.114395,0.1899
186,0.114485,0.1708
187,0.114318,0.1521
188,0.113973,0.1337
189,0.113828,0.1157
190,0.114498,0.0982
191,0.115553,0.0812
192,0.116489,0.0647
193,0.117189,0.0488
194,0.117637,0.0336
195,0.117839,0.0190
196,0.117802,0.0051
197,0.117553,0.0000
198,0.117557,0.0000
199,0.117970,0.0000
200,0.118736,0.0000
201,0.120077,0.0000
202,0.121792,0.0000
203,0.123540,0.0000
204,0.125137,0.0000
205,0.126508,0.0000
206,0.127639,0.0000
207,0.128547,0.0000
208,0.129257,0.0000
209,0.129801,0.0000
210,0.130207,0.0000
211,0.130500,0.0000
212,0.130699,0.0000
213,0.130817,0.0000
214,0.130862,0.0000
215,0.130840,0.0000
216,0.130751,0.0000
