step,phi,danger
0,0.100108,0.4753
1,0.097185,0.4930
2,0.092370,0.5103
3,0.088701,0.5271
4,0.088349,0.5432
5,0.110318,0.5588
6,0.109548,0.5737
7,0.108264,0.5880
8,0.106570,0.6015
9,0.104509,0.6142
10,0.102099,0.6262
11,0.099345,0.6374
12,0.096778,0.6477
13,0.096177,0.6571
14,0.096326,0.6657
15,0.096982,0.6733
16,0.097709,0.6800
17,0.098384,0.6858
18,0.098978,0.6906
19,0.099477,0.6944
20,0.099878,0.6973
21,0.100179,0.6991
22,0.100385,0.6999
23,0.100501,0.6998
24,0.100533,0.6986
25,0.100485,0.6965
26,0.100361,0.6933
27,0.100164,0.6892
28,0.099896,0.6841
29,0.099559,0.6780
30,0.099187,0.6710
31,0.099357,0.6631
32,0.099768,0.6543
33,0.100213,0.6445
34,0.100578,0.6340
35,0.100854,0.6225
36,0.101033,0.6103
37,0.101087,0.5973
38,0.100941,0.5836
39,0.100596,0.5691
40,0.100158,0.5540
41,0.099674,0.5382
42,0.099623,0.5219
43,0.100079,0.5050
44,0.101541,0.4875
45,0.102803,0.4696
46,0.103860,0.4513
47,0.104717,0.4326
48,0.105381,0.4136
49,0.105855,0.3943
50,0.106146,0.3747
51,0.106400,0.3550
52,0.107085,0.3351
53,0.107810,0.3152
54,0.108395,0.2952
55,0.109080,0.2752
56,0.110202,0.2553
57,0.111586,0.2355
58,0.112949,0.2158
59,0.114178,0.1964
60,0.115235,0.1772
61,0.116110,0.1583
62,0.116806,0.1398
63,0.117325,0.1217
64,0.117673,0.1040
65,0.117851,0.0868
66,0.117857,0.0702
67,0.117685,0.0541
68,0.117921,0.0386
69,0.118428,0.0238
70,0.118757,0.0097
71,0.118748,0.0000
72,0.118361,0.0000
73,0.117664,0.0000
74,0.118210,0.0000
75,0.120420,0.0000
76,0.122489,0.0000
77,0.124202,0.0000
78,0.125566,0.0000
79,0.126623,0.0000
80,0.127419,0.0000
81,0.127996,0.0000
82,0.128392,0.0000
83,0.128637,0.0000
84,0.128751,0.0000
85,0.128751,0.0000
86,0.128648,0.0000
87,0.128449,0.0000
88,0.128407,0.0000
89,0.128987,0.0000
90,0.129737,0.0000
91,0.130320,0.0000
92,0.130709,0.0000
93,0.130885,0.0000
94,0.130384,0.0000
95,0.129670,0.0000
96,0.128787,0.0000
97,0.127847,0.0000
98,0.127054,0.0000
99,0.126646,0.0000
100,0.126608,0.0049
