step,phi,danger
0,0.097606,0.4753
1,0.095188,0.4930
2,0.091520,0.5103
3,0.088456,0.5271
4,0.087350,0.5432
5,0.108568,0.5588
6,0.107735,0.5737
7,0.106532,0.5880
8,0.104990,0.6015
9,0.103132,0.6142
10,0.100960,0.6262
11,0.098464,0.6374
12,0.096148,0.6477
13,0.095738,0.6571
14,0.095405,0.6657
15,0.095736,0.6733
16,0.096242,0.6800
17,0.096771,0.6858
18,0.097276,0.6906
19,0.097733,0.6944
20,0.098131,0.6973
21,0.098463,0.6991
22,0.098728,0.6999
23,0.098927,0.6998
24,0.099062,0.6986
25,0.099135,0.6965
26,0.099149,0.6933
27,0.099109,0.6892
28,0.099019,0.6841
29,0.098882,0.6780
30,0.098704,0.6710
31,0.098606,0.6631
32,0.098834,0.6543
33,0.099112,0.6445
34,0.099340,0.6340
35,0.099509,0.6225
36,0.099598,0.6103
37,0.099548,0.5973
38,0.099341,0.5836
39,0.099074,0.5691
40,0.098738,0.5540
41,0.098367,0.5382
42,0.098189,0.5219
43,0.098491,0.5050
44,0.099896,0.4875
45,0.101170,0.4696
46,0.102290,0.4513
47,0.103256,0.4326
48,0.104069,0.4136
49,0.104736,0.3943
50,0.105259,0.3747
51,0.105643,0.3550
52,0.106085,0.3351
53,0.106720,0.3152
54,0.107240,0.2952
55,0.107745,0.2752
56,0.108486,0.2553
57,0.109555,0.2355
58,0.110739,0.2158
59,0.111886,0.1964
60,0.112933,0.1772
61,0.113857,0.1583
62,0.114648,0.1398
63,0.115302,0.1217
64,0.115822,0.1040
65,0.116206,0.0868
66,0.116455,0.0702
67,0.116566,0.0541
68,0.116554,0.0386
69,0.116866,0.0238
70,0.117092,0.0097
71,0.117095,0.0000
72,0.116858,0.0000
73,0.116369,0.0000
74,0.116112,0.0000
75,0.117596,0.0000
76,0.119433,0.0000
77,0.121079,0.0000
78,0.122486,0.0000
79,0.123662,0.0000
80,0.124628,0.0000
81,0.125410,0.0000
82,0.126032,0.0000
83,0.126516,0.0000
84,0.126881,0.0000
85,0.127143,0.0000
86,0.127315,0.0000
87,0.127405,0.0000
88,0.127420,0.0000
89,0.127589,0.0000
90,0.128102,0.0000
91,0.128502,0.0000
92,0.128772,0.0000
93,0.128899,0.0000
94,0.128430,0.0000
95,0.127822,0.0000
96,0.127103,0.0000
97,0.126332,0.0000
98,0.125617,0.0000
99,0.125109,0.0000
100,0.124921,0.0049
101,0.124949,0.0188
102,0.124955,0.0334
103,0.124832,0.0486
104,0.124556,0.0645
105,0.124171,0.0809
106,0.123911,0.0979
107,0.124408,0.1154
108,0.125305,0.1334
109,0.126356,0.1518
110,0.127391,0.1706
111,0.128321,0.1896
112,0.129103,0.2090
113,0.129719,0.2286
114,0.130168,0.2483
115,0.130459,0.2682
116,0.130607,0.2882
117,0.130631,0.3082
118,0.130549,0.3282
119,0.130377,0.3481
120,0.130132,0.3678
121,0.129824,0.3875
122,0.129464,0.4069
123,0.129061,0.4260
124,0.128619,0.4448
125,0.128317,0.4633
126,0.128424,0.4813
127,0.128479,0.4989
128,0.127334,0.5160
129,0.126110,0.5326
130,0.124795,0.5485
131,0.123384,0.5639
132,0.121873,0.5786
133,0.120275,0.5926
134,0.118613,0.6058
135,0.116939,0.6183
136,0.115336,0.6301
137,0.113893,0.6409
138,0.112592,0.6510
139,0.111304,0.6601
140,0.109923,0.6684
141,0.108396,0.6757
142,0.106703,0.6821
143,0.104837,0.6875
144,0.102814,0.6920
145,0.100995,0.6955
146,0.099192,0.6980
147,0.097228,0.6995
148,0.097699,0.7000
149,0.098162,0.6995
150,0.098581,0.6980
151,0.098941,0.6955
152,0.099235,0.6921
153,0.099462,0.6876
154,0.099625,0.6822
155,0.099727,0.6758
156,0.099774,0.6685
157,0.099769,0.6602
158,0.099715,0.6511
159,0.099615,0.6411
160,0.099470,0.6302
161,0.099310,0.6185
162,0.099391,0.6060
163,0.099452,0.5928
164,0.099448,0.5788
165,0.099364,0.5641
166,0.099189,0.5488
167,0.098933,0.5328
168,0.098665,0.5162
169,0.099645,0.4992
170,0.100990,0.4816
171,0.102478,0.4635
172,0.103901,0.4451
173,0.105194,0.4263
174,0.106343,0.4071
175,0.107350,0.3877
176,0.108225,0.3681
177,0.108977,0.3483
178,0.109612,0.3284
179,0.110138,0.3085
180,0.110557,0.2885
181,0.110871,0.2685
182,0.111269,0.2486
183,0.111813,0.2288
184,0.112212,0.2093
185,0.112446,0.1899
186,0.112508,0.1708
187,0.112420,0.1521
188,0.112302,0.1337
189,0.112511,0.1157
190,0.113290,0.0982
191,0.114262,0.0812
192,0.115158,0.0647
193,0.115896,0.0488
194,0.116457,0.0336
195,0.116838,0.0190
196,0.117037,0.0051
197,0.117066,0.0000
198,0.116940,0.0000
199,0.117066,0.0000
200,0.117216,0.0000
201,0.117638,0.0000
