step,phi,danger
0,0.100253,0.4753
1,0.097327,0.4930
2,0.092501,0.5103
3,0.088824,0.5271
4,0.088473,0.5432
5,0.110475,0.5588
6,0.109705,0.5737
7,0.108417,0.5880
8,0.106716,0.6015
9,0.104649,0.6142
10,0.102230,0.6262
11,0.099467,0.6374
12,0.096892,0.6477
13,0.096290,0.6571
14,0.096439,0.6657
15,0.097097,0.6733
16,0.097827,0.6800
17,0.098505,0.6858
18,0.099103,0.6906
19,0.099606,0.6944
20,0.100009,0.6973
21,0.100313,0.6991
22,0.100521,0.6999
23,0.100639,0.6998
24,0.100671,0.6986
25,0.100624,0.6965
26,0.100500,0.6933
27,0.100302,0.6892
28,0.100034,0.6841
29,0.099695,0.6780
30,0.099322,0.6710
31,0.099493,0.6631
32,0.099905,0.6543
33,0.100351,0.6445
34,0.100717,0.6340
35,0.100994,0.6225
36,0.101173,0.6103
37,0.101226,0.5973
38,0.101078,0.5836
39,0.100730,0.5691
40,0.100288,0.5540
41,0.099800,0.5382
42,0.099745,0.5219
43,0.100198,0.5050
44,0.101658,0.4875
45,0.102918,0.4696
46,0.103973,0.4513
47,0.104828,0.4326
48,0.105489,0.4136
49,0.105961,0.3943
50,0.106250,0.3747
51,0.106503,0.3550
52,0.107187,0.3351
53,0.107912,0.3152
54,0.108499,0.2952
55,0.109185,0.2752
56,0.110309,0.2553
57,0.111696,0.2355
58,0.113062,0.2158
59,0.114294,0.1964
60,0.115354,0.1772
61,0.116231,0.1583
62,0.116928,0.1398
63,0.117448,0.1217
64,0.117796,0.1040
65,0.117974,0.0868
66,0.117979,0.0702
67,0.117806,0.0541
68,0.118041,0.0386
69,0.118548,0.0238
70,0.118876,0.0097
71,0.118865,0.0000
72,0.118475,0.0000
73,0.117774,0.0000
74,0.118318,0.0000
75,0.120529,0.0000
76,0.122599,0.0000
77,0.124310,0.0000
78,0.125672,0.0000
79,0.126726,0.0000
80,0.127517,0.0000
81,0.128090,0.0000
82,0.128481,0.0000
83,0.128721,0.0000
84,0.128831,0.0000
85,0.128827,0.0000
86,0.128720,0.0000
87,0.128518,0.0000
88,0.128475,0.0000
89,0.129055,0.0000
90,0.129807,0.0000
91,0.130391,0.0000
92,0.130783,0.0000
93,0.130961,0.0000
94,0.130463,0.0000
95,0.129751,0.0000
96,0.128871,0.0000
97,0.127931,0.0000
98,0.127140,0.0000
99,0.126734,0.0000
100,0.126699,0.0049
101,0.126743,0.0188
102,0.126611,0.0334
103,0.126231,0.0486
104,0.125596,0.0645
105,0.124775,0.0809
106,0.124694,0.0979
107,0.125645,0.1154
108,0.127091,0.1334
109,0.128566,0.1518
110,0.129883,0.1706
111,0.130965,0.1896
112,0.131789,0.2090
113,0.132358,0.2286
114,0.132694,0.2483
115,0.132826,0.2682
116,0.132785,0.2882
117,0.132602,0.3082
118,0.132304,0.3282
119,0.131911,0.3481
120,0.131439,0.3678
121,0.130900,0.3875
122,0.130301,0.4069
123,0.129648,0.4260
124,0.129148,0.4448
125,0.129261,0.4633
126,0.129638,0.4813
127,0.129930,0.4989
128,0.128979,0.5160
129,0.127904,0.5326
130,0.126686,0.5485
131,0.125314,0.5639
132,0.123788,0.5786
133,0.122130,0.5926
134,0.120406,0.6058
135,0.118746,0.6183
136,0.117299,0.6301
137,0.116039,0.6409
138,0.114783,0.6510
139,0.113402,0.6601
140,0.111844,0.6684
141,0.110087,0.6757
142,0.108123,0.6821
143,0.105944,0.6875
144,0.103869,0.6920
145,0.102004,0.6955
146,0.100213,0.6980
147,0.098372,0.6995
148,0.099022,0.7000
149,0.099609,0.6995
150,0.100096,0.6980
151,0.100473,0.6955
152,0.100744,0.6921
153,0.100916,0.6876
154,0.101000,0.6822
155,0.101005,0.6758
156,0.100940,0.6685
157,0.100811,0.6602
158,0.100621,0.6511
159,0.100372,0.6411
160,0.100076,0.6302
161,0.100116,0.6185
162,0.100337,0.6060
163,0.100509,0.5928
164,0.100584,0.5788
165,0.100547,0.5641
166,0.100403,0.5488
167,0.100241,0.5328
168,0.100307,0.5162
169,0.101836,0.4992
170,0.103479,0.4816
171,0.105025,0.4635
172,0.106402,0.4451
173,0.107599,0.4263
174,0.108623,0.4071
175,0.109490,0.3877
176,0.110214,0.3681
177,0.110807,0.3483
178,0.111277,0.3284
179,0.111629,0.3085
180,0.111868,0.2885
181,0.112185,0.2685
182,0.112913,0.2486
183,0.113667,0.2288
184,0.114232,0.2093
185,0.114572,0.1899
186,0.114658,0.1708
187,0.114487,0.1521
188,0.114136,0.1337
189,0.113985,0.1157
190,0.114653,0.0982
191,0.115706,0.0812
192,0.116639,0.0647
193,0.117336,0.0488
194,0.117781,0.0336
195,0.117980,0.0190
196,0.117939,0.0051
197,0.117687,0.0000
198,0.117690,0.0000
199,0.118102,0.0000
200,0.118869,0.0000
201,0.120214,0.0000
202,0.121933,0.0000
203,0.123688,0.0000
204,0.125290,0.0000
205,0.126666,0.0000
206,0.127802,0.0000
207,0.128714,0.0000
208,0.129427,0.0000
209,0.129973,0.0000
210,0.130381,0.0000
211,0.130675,0.0000
212,0.130874,0.0000
213,0.130992,0.0000
214,0.131037,0.0000
215,0.131014,0.0000
216,0.130924,0.0000
217,0.130955,0.0000
218,0.131567,0.0000
219,0.131978,0.0000
220,0.132265,0.0000
221,0.132394,0.0000
222,0.132329,0.0000
223,0.132036,0.0000
224,0.131485,0.0000
225,0.130662,0.0000
226,0.129603,0.0095
227,0.128386,0.0236
228,0.127164,0.0384
229,0.126305,0.0539
230,0.126259,0.0700
231,0.126530,0.0866
232,0.126615,0.1038
233,0.126433,0.1214
234,0.126028,0.1396
235,0.125522,0.1581
236,0.125496,0.1769
237,0.126321,0.1961
238,0.127463,0.2155
239,0.128637,0.2352
240,0.129698,0.2550
241,0.130572,0.2749
242,0.131232,0.2949
243,0.131679,0.3149
244,0.131929,0.3349
245,0.132005,0.3547
246,0.131933,0.3745
247,0.131735,0.3940
248,0.131432,0.4133
249,0.131038,0.4324
250,0.130564,0.4511
251,0.130014,0.4694
252,0.129392,0.4873
253,0.127801,0.5047
254,0.126788,0.5216
255,0.125943,0.5380
256,0.124982,0.5538
257,0.123871,0.5689
258,0.122572,0.5834
259,0.121048,0.5971
260,0.119266,0.6101
261,0.117240,0.6224
262,0.115424,0.6338
263,0.114933,0.6444
264,0.114422,0.6541
265,0.113579,0.6630
266,0.112421,0.6709
267,0.110977,0.6780
268,0.109262,0.6840
269,0.107278,0.6891
270,0.105011,0.6933
271,0.102436,0.6964
272,0.099519,0.6986
273,0.099080,0.6998
274,0.098970,0.6999
275,0.099004,0.6991
276,0.098960,0.6973
277,0.098812,0.6945
278,0.098592,0.6907
279,0.098441,0.6859
280,0.098637,0.6801
281,0.099081,0.6734
282,0.099510,0.6658
283,0.099835,0.6573
284,0.100041,0.6478
285,0.100131,0.6375
286,0.100109,0.6264
287,0.099980,0.6144
288,0.099744,0.6017
289,0.099397,0.5881
290,0.099145,0.5739
291,0.099136,0.5590
292,0.099035,0.5435
293,0.098768,0.5273
294,0.098760,0.5106
295,0.100740,0.4933
296,0.102769,0.4755
297,0.104624,0.4574
298,0.106274,0.4388
299,0.107717,0.4199
300,0.108965,0.4006
301,0.110038,0.3812
302,0.110954,0.3615
303,0.111732,0.3417
304,0.112390,0.3217
305,0.112941,0.3017
306,0.113395,0.2817
307,0.113760,0.2618
308,0.114040,0.2419
309,0.114240,0.2222
310,0.114631,0.2027
311,0.115480,0.1834
312,0.116399,0.1645
313,0.117195,0.1458
314,0.117837,0.1276
315,0.118297,0.1098
316,0.118546,0.0924
317,0.118571,0.0756
318,0.118379,0.0593
319,0.118020,0.0436
320,0.117602,0.0286
321,0.117293,0.0143
322,0.117234,0.0006
323,0.117417,0.0000
324,0.117599,0.0000
325,0.117637,0.0000
326,0.117502,0.0000
327,0.117313,0.0000
328,0.117745,0.0000
329,0.119194,0.0000
330,0.121025,0.0000
331,0.122900,0.0000
332,0.124665,0.0000
333,0.126242,0.0000
334,0.127597,0.0000
335,0.128726,0.0000
336,0.129642,0.0000
337,0.130367,0.0000
338,0.130928,0.0000
339,0.131351,0.0000
340,0.131657,0.0000
341,0.131864,0.0000
342,0.131984,0.0000
343,0.132025,0.0000
344,0.131990,0.0000
345,0.131428,0.0000
346,0.131250,0.0000
347,0.131571,0.0000
348,0.131931,0.0000
349,0.132153,0.0000
350,0.132195,0.0000
351,0.132013,0.0006
352,0.131568,0.0142
353,0.130878,0.0285
354,0.130002,0.0436
355,0.129150,0.0592
356,0.128748,0.0755
357,0.129015,0.0923
358,0.129555,0.1097
359,0.129988,0.1275
360,0.130190,0.1457
361,0.130152,0.1644
362,0.129891,0.1833
363,0.129430,0.2026
364,0.128786,0.2221
365,0.127970,0.2418
366,0.127400,0.2617
367,0.127167,0.2816
368,0.126831,0.3016
369,0.126520,0.3216
370,0.126916,0.3416
371,0.127909,0.3614
372,0.128853,0.3811
373,0.129570,0.4005
374,0.130039,0.4198
375,0.130282,0.4387
376,0.130327,0.4573
377,0.130202,0.4755
378,0.129931,0.4932
379,0.128391,0.5105
380,0.126743,0.5272
381,0.124994,0.5434
382,0.123300,0.5589
383,0.122150,0.5738
384,0.121133,0.5881
385,0.119972,0.6016
386,0.118669,0.6143
387,0.117316,0.6263
388,0.116186,0.6375
389,0.115465,0.6478
390,0.114872,0.6572
391,0.114130,0.6658
392,0.113140,0.6734
393,0.111878,0.6801
394,0.110340,0.6859
395,0.108521,0.6906
396,0.106408,0.6945
397,0.103974,0.6973
398,0.101185,0.6991
399,0.100952,0.6999
400,0.100675,0.6998
401,0.100357,0.6986
402,0.100000,0.6965
403,0.099948,0.6933
404,0.100119,0.6892
405,0.100280,0.6841
406,0.100360,0.6780
407,0.100349,0.6710
408,0.100237,0.6630
409,0.100020,0.6542
410,0.099705,0.6445
411,0.099321,0.6339
412,0.098949,0.6224
413,0.098766,0.6102
414,0.098838,0.5972
415,0.098949,0.5834
416,0.098969,0.5690
417,0.098870,0.5538
418,0.098660,0.5381
419,0.098375,0.5217
420,0.098343,0.5048
421,0.099814,0.4874
422,0.101487,0.4695
423,0.103240,0.4512
424,0.104975,0.4325
425,0.106621,0.4134
426,0.108136,0.3941
427,0.109498,0.3746
428,0.110703,0.3548
429,0.111755,0.3350
430,0.112665,0.3150
431,0.113445,0.2950
432,0.114110,0.2750
433,0.114669,0.2551
434,0.115134,0.2353
