step,phi,danger
0,0.099349,0.4753
1,0.096555,0.4930
2,0.092203,0.5103
3,0.088670,0.5271
4,0.087949,0.5432
5,0.109682,0.5588
6,0.108912,0.5737
7,0.107668,0.5880
8,0.106039,0.6015
9,0.104065,0.6142
10,0.101757,0.6262
11,0.099116,0.6374
12,0.096659,0.6477
13,0.096147,0.6571
14,0.096005,0.6657
15,0.096517,0.6733
16,0.097154,0.6800
17,0.097779,0.6858
18,0.098351,0.6906
19,0.098852,0.6944
20,0.099274,0.6973
21,0.099611,0.6991
22,0.099864,0.6999
23,0.100035,0.6998
24,0.100129,0.6986
25,0.100149,0.6965
26,0.100099,0.6933
27,0.099982,0.6892
28,0.099803,0.6841
29,0.099564,0.6780
30,0.099269,0.6710
31,0.099273,0.6631
32,0.099592,0.6543
33,0.099958,0.6445
34,0.100257,0.6340
35,0.100480,0.6225
36,0.100617,0.6103
37,0.100623,0.5973
38,0.100416,0.5836
39,0.100097,0.5691
40,0.099690,0.5540
41,0.099215,0.5382
42,0.099013,0.5219
43,0.099431,0.5050
44,0.100887,0.4875
45,0.102165,0.4696
46,0.103258,0.4513
47,0.104170,0.4326
48,0.104907,0.4136
49,0.105476,0.3943
50,0.105881,0.3747
51,0.106129,0.3550
52,0.106721,0.3351
53,0.107411,0.3152
54,0.107975,0.2952
55,0.108576,0.2752
56,0.109521,0.2553
57,0.110773,0.2355
58,0.112070,0.2158
59,0.113278,0.1964
60,0.114348,0.1772
61,0.115262,0.1583
62,0.116015,0.1398
63,0.116609,0.1217
64,0.117047,0.1040
65,0.117329,0.0868
66,0.117457,0.0702
67,0.117426,0.0541
68,0.117475,0.0386
69,0.117888,0.0238
70,0.118166,0.0097
71,0.118160,0.0000
72,0.117828,0.0000
73,0.117140,0.0000
74,0.116993,0.0000
75,0.119047,0.0000
76,0.121088,0.0000
77,0.122817,0.0000
78,0.124233,0.0000
79,0.125367,0.0000
80,0.126256,0.0000
81,0.126936,0.0000
82,0.127439,0.0000
83,0.127795,0.0000
84,0.128025,0.0000
85,0.128147,0.0000
86,0.128173,0.0000
87,0.128112,0.0000
88,0.127977,0.0000
89,0.128402,0.0000
90,0.129042,0.0000
91,0.129544,0.0000
92,0.129884,0.0000
93,0.130046,0.0000
94,0.129571,0.0000
95,0.128918,0.0000
96,0.128123,0.0000
97,0.127271,0.0000
98,0.126516,0.0000
99,0.126055,0.0000
100,0.125951,0.0049
101,0.125999,0.0188
102,0.125943,0.0334
103,0.125692,0.0486
104,0.125231,0.0645
105,0.124611,0.0809
106,0.124359,0.0979
107,0.125044,0.1154
108,0.126230,0.1334
109,0.127526,0.1518
110,0.128735,0.1706
111,0.129770,0.1896
112,0.130596,0.2090
113,0.131206,0.2286
114,0.131608,0.2483
115,0.131823,0.2682
116,0.131875,0.2882
117,0.131790,0.3082
118,0.131591,0.3282
119,0.131299,0.3481
120,0.130929,0.3678
121,0.130496,0.3875
122,0.130009,0.4069
123,0.129475,0.4260
124,0.128900,0.4448
125,0.128843,0.4633
126,0.129095,0.4813
127,0.129281,0.4989
128,0.128246,0.5160
129,0.127111,0.5326
130,0.125859,0.5485
131,0.124480,0.5639
132,0.122973,0.5786
133,0.121353,0.5926
134,0.119661,0.6058
135,0.117981,0.6183
136,0.116444,0.6301
137,0.115110,0.6409
138,0.113859,0.6510
139,0.112542,0.6601
140,0.111079,0.6684
141,0.109438,0.6757
142,0.107603,0.6821
143,0.105570,0.6875
144,0.103462,0.6920
145,0.101616,0.6955
146,0.099814,0.6980
147,0.097909,0.6995
148,0.098477,0.7000
149,0.099010,0.6995
150,0.099470,0.6980
151,0.099844,0.6955
152,0.100129,0.6921
153,0.100328,0.6876
154,0.100449,0.6822
155,0.100500,0.6758
156,0.100486,0.6685
157,0.100414,0.6602
158,0.100288,0.6511
159,0.100110,0.6411
160,0.099880,0.6302
161,0.099789,0.6185
162,0.099944,0.6060
163,0.100066,0.5928
164,0.100107,0.5788
165,0.100051,0.5641
166,0.099891,0.5488
167,0.099665,0.5328
168,0.099536,0.5162
169,0.100834,0.4992
170,0.102394,0.4816
171,0.103950,0.4635
172,0.105374,0.4451
173,0.106636,0.4263
174,0.107734,0.4071
175,0.108679,0.3877
176,0.109483,0.3681
177,0.110156,0.3483
178,0.110709,0.3284
179,0.111146,0.3085
180,0.111473,0.2885
181,0.111704,0.2685
182,0.112298,0.2486
183,0.112947,0.2288
184,0.113426,0.2093
185,0.113707,0.1899
186,0.113769,0.1708
187,0.113620,0.1521
188,0.113352,0.1337
189,0.113344,0.1157
190,0.114069,0.0982
191,0.115095,0.0812
192,0.116019,0.0647
193,0.116744,0.0488
194,0.117251,0.0336
195,0.117541,0.0190
196,0.117619,0.0051
197,0.117502,0.0000
198,0.117382,0.0000
199,0.117622,0.0000
200,0.118038,0.0000
201,0.118962,0.0000
202,0.120441,0.0000
203,0.122121,0.0000
204,0.123744,0.0000
205,0.125196,0.0000
206,0.126439,0.0000
207,0.127474,0.0000
208,0.128318,0.0000
209,0.128993,0.0000
210,0.129526,0.0000
211,0.129938,0.0000
212,0.130250,0.0000
213,0.130476,0.0000
214,0.130628,0.0000
215,0.130713,0.0000
216,0.130735,0.0000
217,0.130696,0.0000
218,0.131108,0.0000
219,0.131373,0.0000
220,0.131528,0.0000
221,0.131544,0.0000
222,0.131391,0.0000
223,0.131039,0.0000
224,0.130467,0.0000
225,0.129666,0.0000
226,0.128676,0.0095
227,0.127570,0.0236
228,0.126483,0.0384
229,0.125737,0.0539
230,0.125697,0.0700
231,0.125969,0.0866
232,0.126108,0.1038
233,0.126020,0.1214
234,0.125727,0.1396
235,0.125311,0.1581
236,0.125059,0.1769
237,0.125598,0.1961
238,0.126510,0.2155
239,0.127544,0.2352
240,0.128537,0.2550
241,0.129399,0.2749
242,0.130089,0.2949
243,0.130596,0.3149
244,0.130926,0.3349
245,0.131094,0.3547
246,0.131120,0.3745
247,0.131022,0.3940
248,0.130820,0.4133
249,0.130528,0.4324
250,0.130158,0.4511
251,0.129717,0.4694
252,0.129210,0.4873
253,0.127524,0.5047
254,0.126352,0.5216
255,0.125385,0.5380
256,0.124321,0.5538
257,0.123133,0.5689
258,0.121789,0.5834
259,0.120257,0.5971
260,0.118511,0.6101
261,0.116541,0.6224
262,0.114505,0.6338
263,0.113787,0.6444
264,0.113309,0.6541
265,0.112525,0.6630
266,0.111447,0.6709
267,0.110094,0.6780
268,0.108478,0.6840
269,0.106597,0.6891
270,0.104435,0.6933
271,0.101966,0.6964
272,0.099153,0.6986
273,0.098796,0.6998
274,0.098567,0.6999
275,0.098557,0.6991
276,0.098491,0.6973
277,0.098341,0.6945
278,0.098132,0.6907
279,0.097960,0.6859
280,0.098054,0.6801
281,0.098426,0.6734
282,0.098836,0.6658
283,0.099174,0.6573
284,0.099413,0.6478
285,0.099549,0.6375
286,0.099585,0.6264
287,0.099523,0.6144
288,0.099365,0.6017
289,0.099107,0.5881
290,0.098802,0.5739
291,0.098752,0.5590
292,0.098637,0.5435
293,0.098368,0.5273
294,0.098137,0.5106
295,0.099893,0.4933
296,0.101847,0.4755
297,0.103670,0.4574
298,0.105319,0.4388
299,0.106788,0.4199
300,0.108080,0.4006
301,0.109207,0.3812
302,0.110186,0.3615
303,0.111032,0.3417
304,0.111761,0.3217
305,0.112385,0.3017
306,0.112916,0.2817
307,0.113363,0.2618
308,0.113731,0.2419
309,0.114025,0.2222
310,0.114293,0.2027
311,0.115005,0.1834
312,0.115816,0.1645
313,0.116518,0.1458
314,0.117088,0.1276
315,0.117501,0.1098
316,0.117734,0.0924
317,0.117776,0.0756
318,0.117634,0.0593
319,0.117346,0.0436
320,0.116993,0.0286
321,0.116703,0.0143
322,0.116606,0.0006
323,0.116756,0.0000
