step,phi,danger
0,0.101099,0.1800
1,0.098915,0.1827
2,0.096879,0.1854
3,0.095410,0.1881
4,0.094575,0.1908
5,0.117999,0.1935
6,0.118142,0.1962
7,0.118420,0.1989
8,0.118769,0.2015
9,0.119211,0.2042
10,0.119691,0.2069
11,0.120198,0.2095
12,0.120753,0.2121
13,0.121324,0.2148
14,0.121900,0.2174
15,0.122481,0.2200
16,0.123065,0.2226
17,0.123653,0.2252
18,0.124244,0.2278
19,0.124837,0.2303
20,0.125431,0.2328
21,0.126028,0.2354
22,0.126626,0.2379
23,0.127226,0.2403
24,0.127828,0.2428
25,0.127978,0.2452
26,0.128118,0.2477
27,0.128254,0.2501
28,0.128389,0.2524
29,0.128520,0.2548
30,0.128647,0.2571
31,0.128772,0.2594
32,0.128893,0.2617
33,0.129010,0.2640
34,0.129124,0.2662
35,0.129234,0.2684
36,0.129340,0.2705
37,0.135211,0.4827
38,0.132743,0.4848
39,0.130899,0.4869
40,0.129940,0.4889
41,0.129320,0.4909
42,0.128846,0.4929
43,0.128490,0.4949
44,0.128226,0.4968
45,0.128054,0.4986
46,0.126821,0.5005
47,0.125622,0.5023
48,0.124469,0.5041
49,0.123324,0.5058
50,0.122183,0.5075
51,0.121046,0.5092
52,0.119913,0.5108
53,0.118772,0.5124
54,0.117619,0.5139
55,0.116446,0.5154
56,0.115245,0.5169
57,0.114004,0.5183
58,0.112711,0.5197
59,0.111344,0.5210
60,0.109880,0.5223
61,0.108290,0.5235
62,0.106539,0.5248
63,0.104583,0.5259
64,0.102371,0.5270
65,0.099845,0.5281
66,0.099834,0.5291
67,0.099823,0.5301
68,0.099813,0.5311
69,0.099804,0.5320
70,0.099796,0.5328
71,0.099788,0.5336
72,0.099781,0.5344
73,0.099774,0.5351
74,0.099767,0.5357
75,0.099761,0.5364
76,0.099756,0.5369
77,0.099751,0.5374
78,0.099746,0.5379
79,0.099741,0.5383
80,0.099737,0.5387
81,0.099732,0.5390
82,0.099728,0.5393
83,0.099725,0.5396
84,0.099721,0.5397
