step,phi,danger
0,0.099050,0.2769
1,0.097885,0.2794
2,0.097074,0.2844
3,0.096628,0.2921
4,0.096275,0.3021
5,0.119975,0.3144
6,0.119649,0.3288
7,0.119729,0.3450
8,0.120029,0.3629
9,0.120329,0.3821
10,0.120601,0.4024
11,0.120854,0.4234
12,0.121136,0.4449
13,0.121398,0.4665
14,0.121621,0.4880
15,0.120247,0.5089
16,0.118981,0.5290
17,0.117951,0.5480
18,0.116991,0.5656
19,0.116087,0.5815
20,0.115199,0.5955
21,0.114282,0.6074
22,0.113301,0.6171
23,0.112218,0.6242
24,0.111004,0.6289
25,0.109634,0.6309
26,0.108079,0.6302
27,0.106313,0.6269
28,0.104313,0.6210
29,0.102127,0.6125
30,0.099639,0.6016
31,0.099679,0.5884
32,0.099718,0.5731
33,0.099749,0.5559
34,0.099781,0.5371
35,0.099989,0.5168
36,0.101289,0.4955
37,0.102560,0.4734
38,0.103764,0.4508
39,0.104895,0.4281
40,0.106043,0.4054
41,0.107156,0.3833
42,0.108215,0.3620
43,0.109206,0.3417
44,0.110123,0.3228
45,0.110962,0.3056
46,0.111725,0.2902
47,0.112417,0.2769
48,0.113042,0.2660
49,0.113607,0.2574
50,0.114117,0.2515
51,0.114579,0.2481
52,0.115000,0.2475
53,0.115381,0.2496
54,0.115820,0.2543
55,0.116361,0.2616
56,0.116875,0.2714
57,0.117356,0.2835
58,0.117792,0.2978
59,0.118178,0.3141
60,0.118508,0.3321
61,0.118780,0.3515
62,0.119002,0.3722
63,0.119254,0.3937
64,0.119505,0.4158
65,0.119747,0.4381
66,0.120008,0.4604
67,0.120322,0.4823
68,0.119124,0.5036
69,0.117991,0.5238
70,0.116885,0.5427
71,0.115756,0.5601
72,0.114561,0.5756
73,0.113270,0.5892
74,0.111858,0.6005
75,0.110302,0.6094
76,0.108580,0.6158
77,0.106662,0.6197
78,0.104511,0.6208
79,0.102081,0.6194
80,0.099867,0.6152
81,0.099750,0.6086
82,0.099809,0.5994
83,0.099855,0.5879
84,0.099880,0.5742
85,0.099894,0.5586
86,0.099920,0.5413
87,0.099989,0.5224
88,0.100130,0.5024
89,0.101411,0.4814
90,0.102697,0.4599
91,0.103958,0.4381
92,0.105164,0.4163
93,0.106300,0.3948
94,0.107356,0.3741
95,0.108331,0.3543
96,0.109229,0.3358
97,0.110053,0.3188
98,0.110809,0.3036
99,0.111502,0.2905
100,0.112140,0.2795
101,0.112748,0.2710
102,0.113316,0.2650
103,0.113830,0.2615
104,0.114294,0.2608
105,0.114711,0.2627
106,0.115086,0.2673
107,0.115553,0.2745
108,0.116048,0.2843
109,0.116502,0.2964
110,0.116911,0.3107
111,0.117273,0.3271
112,0.117589,0.3453
113,0.117866,0.3650
114,0.118116,0.3860
115,0.118368,0.4079
116,0.118656,0.4306
117,0.119013,0.4536
118,0.119445,0.4766
119,0.119931,0.4994
120,0.118830,0.5216
121,0.117694,0.5428
122,0.116493,0.5629
123,0.115211,0.5815
124,0.113837,0.5983
125,0.112360,0.6132
126,0.110766,0.6258
127,0.109093,0.6362
128,0.107335,0.6441
129,0.105368,0.6493
130,0.103145,0.6519
131,0.100613,0.6519
132,0.099398,0.6492
133,0.099220,0.6438
134,0.099072,0.6359
135,0.098990,0.6256
136,0.098981,0.6131
137,0.099047,0.5985
138,0.099192,0.5820
139,0.099401,0.5640
140,0.099646,0.5447
141,0.099900,0.5243
142,0.100149,0.5031
143,0.101447,0.4816
144,0.102677,0.4599
145,0.103868,0.4385
146,0.105049,0.4176
147,0.106157,0.3975
148,0.107191,0.3786
149,0.108150,0.3612
150,0.109034,0.3454
151,0.109846,0.3315
152,0.110586,0.3197
153,0.111259,0.3103
154,0.111869,0.3033
155,0.112418,0.2989
156,0.112911,0.2971
157,0.113351,0.2979
158,0.113744,0.3015
159,0.114098,0.3076
160,0.114520,0.3163
161,0.114945,0.3273
162,0.115326,0.3407
163,0.115669,0.3561
164,0.115976,0.3734
165,0.116262,0.3923
166,0.116544,0.4126
167,0.116839,0.4339
168,0.117161,0.4560
169,0.117513,0.4785
170,0.116254,0.5012
171,0.114969,0.5237
172,0.113638,0.5457
173,0.112316,0.5668
174,0.110911,0.5869
175,0.109384,0.6055
176,0.107707,0.6225
177,0.105851,0.6376
178,0.103779,0.6505
179,0.101446,0.6612
180,0.099347,0.6694
181,0.099297,0.6750
182,0.099255,0.6779
183,0.099218,0.6782
184,0.099181,0.6758
185,0.099142,0.6707
186,0.099119,0.6630
187,0.099180,0.6529
188,0.099232,0.6404
189,0.099276,0.6258
190,0.099307,0.6093
191,0.099344,0.5911
192,0.099490,0.5714
193,0.099648,0.5505
194,0.099825,0.5288
195,0.100032,0.5066
196,0.101329,0.4841
197,0.102596,0.4618
198,0.103818,0.4398
199,0.104981,0.4186
200,0.106075,0.3984
201,0.107094,0.3795
202,0.108034,0.3622
203,0.108896,0.3468
204,0.109684,0.3333
205,0.110402,0.3222
206,0.111054,0.3134
207,0.111644,0.3071
208,0.112176,0.3035
209,0.112655,0.3025
210,0.113081,0.3041
211,0.113462,0.3084
212,0.113912,0.3153
213,0.114370,0.3246
214,0.114780,0.3362
215,0.115142,0.3500
216,0.115453,0.3658
217,0.115744,0.3832
218,0.116022,0.4021
219,0.116265,0.4222
220,0.116481,0.4431
221,0.116686,0.4646
222,0.116907,0.4864
223,0.115560,0.5081
224,0.114286,0.5294
225,0.113086,0.5500
226,0.111909,0.5696
227,0.110682,0.5879
228,0.109336,0.6047
229,0.107816,0.6196
230,0.106075,0.6325
231,0.104072,0.6431
232,0.101760,0.6514
233,0.099639,0.6571
234,0.099531,0.6602
235,0.099393,0.6606
236,0.099230,0.6584
