step,phi,danger
0,0.099928,0.0725
1,0.099517,0.0737
2,0.098871,0.0749
3,0.098241,0.0761
4,0.097686,0.0773
5,0.121537,0.0785
6,0.121083,0.0796
7,0.120775,0.0808
8,0.120707,0.0819
9,0.120872,0.0831
10,0.121105,0.0842
11,0.121416,0.0853
12,0.121878,0.0864
13,0.122321,0.0874
14,0.122751,0.0884
15,0.123191,0.0894
16,0.123647,0.0904
17,0.124098,0.0914
18,0.124720,0.0923
19,0.125363,0.0932
20,0.126001,0.0940
21,0.126636,0.0948
22,0.127267,0.0956
23,0.127894,0.0964
24,0.128517,0.0971
25,0.128685,0.0977
26,0.128838,0.0984
27,0.128987,0.0990
28,0.129130,0.0995
29,0.129267,0.1000
30,0.129400,0.1005
31,0.129528,0.1009
32,0.129650,0.1012
33,0.129768,0.1016
34,0.129881,0.1018
35,0.129990,0.1021
36,0.130095,0.1022
37,0.130195,0.1024
38,0.130292,0.1025
39,0.130384,0.1025
40,0.130473,0.1025
41,0.130558,0.1024
42,0.130640,0.1023
43,0.130689,0.1022
44,0.130589,0.1020
45,0.130458,0.1017
46,0.130370,0.1014
47,0.130310,0.1011
48,0.130272,0.1007
49,0.130247,0.1003
50,0.130232,0.0998
51,0.130224,0.0993
52,0.130228,0.0987
53,0.130241,0.0981
54,0.130254,0.0974
55,0.130268,0.0968
56,0.130281,0.0960
57,0.130295,0.0953
58,0.130309,0.0945
59,0.130323,0.0936
60,0.130338,0.0928
61,0.130352,0.0919
62,0.130366,0.0909
63,0.130380,0.0900
64,0.130394,0.0890
65,0.130408,0.0880
66,0.130422,0.0869
67,0.130436,0.0859
68,0.130449,0.0848
69,0.130463,0.0837
70,0.130476,0.0825
71,0.130489,0.0814
72,0.130502,0.0803
73,0.130515,0.0791
74,0.130527,0.0779
75,0.130539,0.0767
76,0.130551,0.0755
77,0.130562,0.0743
78,0.130574,0.0731
79,0.130533,0.0731
80,0.130507,0.0743
81,0.130533,0.0754
82,0.130549,0.0766
83,0.130557,0.0778
84,0.130560,0.0790
85,0.130560,0.0802
86,0.130557,0.0813
87,0.130553,0.0825
88,0.130547,0.0836
89,0.130541,0.0847
90,0.130534,0.0858
91,0.130526,0.0868
92,0.130519,0.0879
93,0.130511,0.0889
94,0.130503,0.0899
95,0.130495,0.0909
96,0.130488,0.0918
97,0.130480,0.0927
98,0.130263,0.8161
99,0.127859,0.8169
100,0.125569,0.8177
101,0.123477,0.8185
102,0.121597,0.8192
103,0.119907,0.8199
104,0.118370,0.8205
105,0.116948,0.8211
106,0.115608,0.8217
107,0.114317,0.8222
108,0.113048,0.8227
109,0.111776,0.8232
110,0.110479,0.8235
111,0.109129,0.8239
112,0.107702,0.8242
113,0.106175,0.8244
114,0.104501,0.8247
115,0.102634,0.8248
116,0.100525,0.8249
117,0.098118,0.8250
118,0.098117,0.8250
119,0.098120,0.8250
120,0.098126,0.8249
121,0.098131,0.8248
122,0.098135,0.8246
123,0.098140,0.8244
124,0.098145,0.8241
125,0.098150,0.8238
126,0.098155,0.8234
127,0.098160,0.8230
128,0.098165,0.8225
129,0.098169,0.8220
130,0.098174,0.8215
131,0.098179,0.8209
132,0.098183,0.8203
133,0.098188,0.8196
134,0.098192,0.8189
135,0.098196,0.8182
136,0.098200,0.8174
137,0.098204,0.8166
138,0.098207,0.8157
139,0.098211,0.8149
140,0.098215,0.8139
141,0.098219,0.8130
142,0.098223,0.8120
143,0.098227,0.8110
144,0.098231,0.8100
145,0.098235,0.8089
146,0.098238,0.8079
147,0.098237,0.8068
148,0.098237,0.8057
149,0.098237,0.8045
150,0.098240,0.8034
151,0.098244,0.8022
152,0.098247,0.8011
153,0.098250,0.7999
154,0.098254,0.7987
155,0.098257,0.7975
156,0.098260,0.7963
157,0.098263,0.7951
158,0.098229,0.7961
159,0.098214,0.7973
160,0.098227,0.7985
161,0.098235,0.7997
162,0.098239,0.8009
163,0.098242,0.8020
164,0.098242,0.8032
165,0.098242,0.8043
166,0.098242,0.8055
167,0.098241,0.8066
168,0.098239,0.8077
169,0.098238,0.8088
170,0.098236,0.8098
171,0.098234,0.8109
172,0.098232,0.8119
173,0.098230,0.8128
174,0.098228,0.8138
175,0.098226,0.8147
176,0.098224,0.8156
177,0.098222,0.8165
178,0.098220,0.8173
179,0.098218,0.8181
180,0.098216,0.8188
181,0.098214,0.8195
182,0.098212,0.8202
183,0.098210,0.8208
184,0.098207,0.8214
185,0.098205,0.8220
186,0.098203,0.8225
187,0.098201,0.8229
188,0.098198,0.8233
189,0.098196,0.8237
190,0.098194,0.8240
191,0.098192,0.8243
192,0.098189,0.8245
193,0.098187,0.8247
194,0.098185,0.8249
195,0.098183,0.8250
196,0.098181,0.8250
197,0.098179,0.8250
198,0.098177,0.8249
199,0.098175,0.8248
200,0.098177,0.8247
201,0.098179,0.8245
202,0.098181,0.8242
203,0.098183,0.8239
204,0.098185,0.8236
205,0.098187,0.8232
206,0.098189,0.8228
207,0.098191,0.8223
208,0.098193,0.8218
209,0.107331,0.0987
210,0.107657,0.0981
211,0.108014,0.0975
212,0.108491,0.0968
213,0.108860,0.0961
214,0.109245,0.0953
215,0.109717,0.0945
216,0.110253,0.0937
217,0.110813,0.0928
218,0.111389,0.0919
219,0.111970,0.0910
220,0.112549,0.0900
221,0.113124,0.0891
222,0.113691,0.0880
223,0.114262,0.0870
224,0.114828,0.0859
225,0.115380,0.0849
226,0.115918,0.0838
227,0.116445,0.0826
228,0.116962,0.0815
229,0.117469,0.0804
230,0.117967,0.0792
231,0.118457,0.0780
232,0.118938,0.0768
233,0.119414,0.0756
234,0.119886,0.0744
235,0.120354,0.0732
236,0.120788,0.0730
237,0.121183,0.0742
238,0.121637,0.0754
239,0.122098,0.0765
240,0.122551,0.0777
241,0.122997,0.0789
242,0.123440,0.0801
243,0.123881,0.0812
244,0.124320,0.0824
245,0.124758,0.0835
246,0.125195,0.0846
247,0.125632,0.0857
248,0.126069,0.0868
249,0.126506,0.0878
250,0.126944,0.0888
251,0.127382,0.0898
252,0.127820,0.0908
253,0.128259,0.0917
254,0.128698,0.0926
255,0.129139,0.0935
256,0.129580,0.0943
257,0.130021,0.0951
258,0.130464,0.0959
259,0.130456,0.0966
260,0.130448,0.0973
261,0.130440,0.0980
262,0.130433,0.0986
263,0.130426,0.0992
264,0.130419,0.0997
265,0.130412,0.1002
266,0.130406,0.1006
267,0.130400,0.1010
268,0.130394,0.1014
269,0.130389,0.1017
270,0.130383,0.1019
271,0.130379,0.1021
272,0.130374,0.1023
273,0.130370,0.1024
274,0.130366,0.1025
275,0.130364,0.1025
276,0.130361,0.1025
277,0.130359,0.1024
278,0.130360,0.1023
279,0.130366,0.1021
280,0.130371,0.1019
281,0.130377,0.1016
282,0.130383,0.1013
283,0.130390,0.1009
284,0.130397,0.1005
285,0.130404,0.1001
286,0.130412,0.0996
287,0.130420,0.0990
288,0.130428,0.0985
289,0.130436,0.0978
290,0.130445,0.0972
291,0.130454,0.0965
292,0.130463,0.0957
293,0.130472,0.0950
294,0.130481,0.0942
295,0.130490,0.0933
296,0.130500,0.0924
297,0.130509,0.0915
298,0.130519,0.0906
299,0.130529,0.0896
300,0.130538,0.0886
301,0.130548,0.0876
302,0.130557,0.0865
303,0.130567,0.0855
304,0.130576,0.0844
305,0.130586,0.0832
306,0.130595,0.0821
307,0.130604,0.0810
308,0.130613,0.0798
309,0.130622,0.0786
310,0.130630,0.0775
311,0.130639,0.0763
312,0.130647,0.0751
313,0.130655,0.0739
314,0.130663,0.0727
315,0.130605,0.0735
316,0.130566,0.0747
317,0.130585,0.0759
318,0.130594,0.0771
319,0.130596,0.0783
320,0.130595,0.0794
321,0.130591,0.0806
322,0.130585,0.0818
323,0.130579,0.0829
324,0.130572,0.0840
325,0.130564,0.0851
326,0.130555,0.0862
327,0.130547,0.0872
328,0.130538,0.0883
329,0.130530,0.0893
330,0.130521,0.0903
331,0.130512,0.0912
332,0.130504,0.0921
333,0.130495,0.0930
334,0.130487,0.0939
335,0.130478,0.0947
336,0.130470,0.0955
337,0.130462,0.0963
338,0.130454,0.0970
339,0.130446,0.0976
340,0.130438,0.0983
341,0.130431,0.0989
342,0.130424,0.0994
343,0.130417,0.0999
344,0.130410,0.1004
345,0.130404,0.1008
346,0.130398,0.1012
347,0.130392,0.1015
348,0.130387,0.1018
349,0.130381,0.1020
350,0.130377,0.1022
351,0.130372,0.1024
352,0.130368,0.1025
353,0.130365,0.1025
354,0.130362,0.1025
355,0.130360,0.1024
356,0.130358,0.1023
357,0.130363,0.1022
358,0.130368,0.1020
359,0.130374,0.1018
360,0.130380,0.1015
361,0.130386,0.1011
362,0.130393,0.1008
363,0.130400,0.1003
364,0.130408,0.0999
365,0.130416,0.0993
366,0.130424,0.0988
367,0.130432,0.0982
368,0.130440,0.0975
369,0.130449,0.0969
370,0.130458,0.0961
371,0.130467,0.0954
372,0.130476,0.0946
373,0.130485,0.0938
374,0.130495,0.0929
375,0.130504,0.0920
376,0.130514,0.0911
377,0.130523,0.0901
378,0.130533,0.0891
379,0.130543,0.0881
380,0.130552,0.0871
381,0.130562,0.0860
382,0.130571,0.0850
383,0.130581,0.0838
384,0.130590,0.0827
385,0.130599,0.0816
386,0.130608,0.0804
387,0.130617,0.0793
388,0.130626,0.0781
389,0.130634,0.0769
390,0.130643,0.0757
391,0.130651,0.0745
392,0.130659,0.0733
393,0.130641,0.0729
