step,phi,danger
0,0.095345,0.4651
1,0.094847,0.4831
2,0.093175,0.5009
3,0.091658,0.5187
4,0.090253,0.5363
5,0.111136,0.5536
6,0.109472,0.5707
7,0.107788,0.5875
8,0.106033,0.6040
9,0.104156,0.6201
10,0.102108,0.6357
11,0.099833,0.6509
12,0.097806,0.6656
13,0.097782,0.6797
14,0.097761,0.6933
15,0.097744,0.7062
16,0.097729,0.7186
17,0.097718,0.7302
18,0.097710,0.7411
19,0.097706,0.7514
20,0.097706,0.7608
21,0.097709,0.7695
22,0.097717,0.7774
23,0.097729,0.7845
24,0.097746,0.7907
25,0.097769,0.7961
26,0.097834,0.8006
27,0.097939,0.8043
28,0.098046,0.8070
29,0.098155,0.8089
30,0.098267,0.8099
31,0.098381,0.8099
32,0.098496,0.8091
33,0.098612,0.8074
34,0.098730,0.8047
35,0.098849,0.8012
36,0.098969,0.7968
37,0.099089,0.7916
38,0.099208,0.7855
39,0.099309,0.7785
40,0.099333,0.7708
41,0.099303,0.7622
42,0.099303,0.7529
43,0.099323,0.7427
44,0.099355,0.7319
45,0.099397,0.7204
46,0.099446,0.7081
47,0.099496,0.6953
48,0.099547,0.6818
49,0.099597,0.6678
50,0.099645,0.6532
51,0.099692,0.6380
52,0.099737,0.6225
53,0.099779,0.6065
54,0.099820,0.5901
55,0.099860,0.5733
56,0.099898,0.5562
57,0.099936,0.5389
58,0.099975,0.5214
59,0.100016,0.5037
60,0.101114,0.4858
61,0.102162,0.4678
62,0.103163,0.4499
63,0.104123,0.4319
64,0.105047,0.4139
65,0.105940,0.3961
66,0.106804,0.3783
67,0.107644,0.3608
68,0.108460,0.3435
69,0.109254,0.3264
70,0.110028,0.3097
71,0.110780,0.2933
72,0.111513,0.2773
73,0.112226,0.2617
74,0.112920,0.2466
75,0.113594,0.2320
76,0.114249,0.2180
77,0.114886,0.2045
78,0.115504,0.1916
79,0.116106,0.1794
80,0.116690,0.1679
81,0.117257,0.1571
82,0.117809,0.1470
83,0.118346,0.1377
84,0.118869,0.1291
85,0.119377,0.1213
86,0.119873,0.1144
87,0.120356,0.1083
88,0.120828,0.1031
89,0.121288,0.0987
90,0.121738,0.0952
91,0.122177,0.0926
92,0.122607,0.0909
93,0.123028,0.0901
94,0.123440,0.0902
95,0.123848,0.0911
96,0.124296,0.0930
97,0.124742,0.0958
98,0.125183,0.0994
99,0.125617,0.1040
100,0.126065,0.1094
101,0.126514,0.1156
102,0.126956,0.1227
103,0.127390,0.1306
104,0.127818,0.1393
105,0.128239,0.1488
106,0.128652,0.1590
107,0.129057,0.1700
108,0.129455,0.1816
109,0.129846,0.1940
110,0.129777,0.2069
111,0.129700,0.2205
112,0.129615,0.2347
113,0.129524,0.2494
114,0.129427,0.2645
115,0.129324,0.2802
116,0.129218,0.2963
117,0.129110,0.3127
118,0.129002,0.3295
119,0.128894,0.3466
120,0.128789,0.3640
121,0.128688,0.3816
122,0.128593,0.3993
123,0.128505,0.4172
124,0.128425,0.4352
125,0.128351,0.4532
126,0.128284,0.4712
127,0.128222,0.4891
128,0.127030,0.5069
129,0.125844,0.5246
130,0.124661,0.5421
131,0.123479,0.5594
132,0.122296,0.5764
133,0.121111,0.5931
134,0.119918,0.6094
135,0.118716,0.6254
136,0.117500,0.6409
137,0.116262,0.6559
138,0.114997,0.6704
139,0.113694,0.6843
140,0.112338,0.6977
141,0.110912,0.7104
142,0.109392,0.7225
143,0.107753,0.7340
144,0.105961,0.7447
145,0.103976,0.7546
146,0.101749,0.7638
147,0.099225,0.7723
148,0.099173,0.7799
149,0.099123,0.7867
150,0.099077,0.7926
151,0.099044,0.7977
152,0.099019,0.8019
153,0.098999,0.8053
154,0.098982,0.8077
155,0.098970,0.8093
156,0.098962,0.8100
157,0.098961,0.8097
158,0.098968,0.8086
159,0.098995,0.8066
160,0.099033,0.8037
161,0.099074,0.7999
162,0.099118,0.7952
163,0.099166,0.7896
164,0.099216,0.7832
165,0.099268,0.7760
166,0.099323,0.7680
167,0.099379,0.7591
168,0.099436,0.7495
169,0.099494,0.7392
170,0.099553,0.7281
171,0.099613,0.7163
172,0.099671,0.7039
173,0.099729,0.6908
174,0.099786,0.6771
175,0.099841,0.6629
176,0.099894,0.6481
177,0.099945,0.6329
178,0.099993,0.6171
179,0.100039,0.6010
180,0.100081,0.5845
181,0.100121,0.5676
182,0.100158,0.5504
183,0.100193,0.5330
184,0.100227,0.5154
185,0.101318,0.4977
186,0.102353,0.4798
187,0.103336,0.4618
188,0.104272,0.4438
189,0.105167,0.4258
190,0.106025,0.4079
191,0.106852,0.3901
192,0.107651,0.3724
193,0.108426,0.3549
194,0.109180,0.3377
195,0.109917,0.3208
196,0.110636,0.3041
197,0.111340,0.2879
198,0.112029,0.2720
199,0.112703,0.2566
200,0.113362,0.2416
201,0.114007,0.2272
202,0.114637,0.2134
203,0.115252,0.2001
204,0.115853,0.1875
205,0.116439,0.1755
206,0.117012,0.1642
207,0.117570,0.1536
208,0.118115,0.1438
209,0.118647,0.1347
210,0.119166,0.1264
211,0.119674,0.1189
212,0.120170,0.1123
213,0.120656,0.1065
214,0.121133,0.1015
215,0.121599,0.0974
216,0.122056,0.0942
217,0.122503,0.0919
218,0.122942,0.0905
219,0.123372,0.0900
220,0.123794,0.0904
221,0.124209,0.0917
222,0.124619,0.0939
223,0.125064,0.0969
224,0.125508,0.1009
225,0.125945,0.1057
226,0.126376,0.1114
227,0.126801,0.1179
228,0.127221,0.1253
229,0.127634,0.1335
230,0.128041,0.1424
231,0.128444,0.1522
232,0.128847,0.1626
233,0.129254,0.1738
234,0.129658,0.1857
235,0.129607,0.1983
236,0.129551,0.2114
237,0.129492,0.2252
238,0.129430,0.2395
239,0.129365,0.2544
240,0.129298,0.2698
241,0.129230,0.2856
242,0.129161,0.3018
243,0.129092,0.3184
244,0.129023,0.3353
245,0.128955,0.3525
246,0.128889,0.3699
247,0.128825,0.3875
248,0.128763,0.4053
249,0.128702,0.4233
250,0.128642,0.4412
251,0.128584,0.4592
252,0.128525,0.4772
253,0.128466,0.4951
254,0.127273,0.5129
255,0.126080,0.5305
256,0.124888,0.5480
257,0.123695,0.5652
258,0.122500,0.5821
259,0.121302,0.5986
260,0.120097,0.6148
261,0.118883,0.6306
262,0.117656,0.6460
263,0.116408,0.6608
264,0.115132,0.6751
265,0.113818,0.6889
266,0.112451,0.7021
267,0.111014,0.7146
268,0.109486,0.7265
269,0.107839,0.7376
270,0.106039,0.7481
271,0.104046,0.7578
272,0.101811,0.7668
273,0.099279,0.7749
274,0.099221,0.7823
275,0.099166,0.7888
276,0.099115,0.7944
277,0.099067,0.7992
278,0.099023,0.8032
279,0.098983,0.8062
280,0.098947,0.8084
281,0.098915,0.8096
282,0.098888,0.8100
283,0.098874,0.8095
284,0.098876,0.8080
285,0.098909,0.8057
286,0.098949,0.8025
287,0.098994,0.7984
288,0.099043,0.7934
289,0.099094,0.7876
290,0.099149,0.7809
291,0.099207,0.7734
292,0.099267,0.7651
293,0.099330,0.7560
294,0.099394,0.7461
295,0.099461,0.7355
296,0.099528,0.7242
297,0.099597,0.7122
298,0.099667,0.6996
299,0.099737,0.6863
300,0.099808,0.6724
301,0.099879,0.6580
302,0.099950,0.6430
303,0.100021,0.6276
304,0.100092,0.6117
305,0.100163,0.5955
306,0.100234,0.5788
307,0.100305,0.5619
308,0.100376,0.5446
309,0.100448,0.5271
310,0.100520,0.5095
311,0.101659,0.4917
312,0.102742,0.4737
313,0.103775,0.4557
314,0.104761,0.4377
315,0.105703,0.4198
316,0.106604,0.4019
317,0.107468,0.3841
318,0.108297,0.3665
319,0.109095,0.3491
320,0.109862,0.3320
321,0.110603,0.3151
322,0.111318,0.2986
323,0.112009,0.2825
324,0.112678,0.2668
325,0.113327,0.2515
326,0.113956,0.2367
327,0.114566,0.2225
328,0.115160,0.2088
329,0.115737,0.1958
330,0.116300,0.1834
331,0.116848,0.1716
332,0.117383,0.1606
333,0.117905,0.1502
334,0.118415,0.1406
335,0.118918,0.1318
336,0.119413,0.1238
337,0.119901,0.1166
338,0.120377,0.1102
339,0.120845,0.1047
340,0.121302,0.1000
341,0.121751,0.0963
342,0.122191,0.0934
343,0.122623,0.0914
344,0.123047,0.0902
345,0.123463,0.0900
346,0.123872,0.0907
347,0.124278,0.0923
348,0.124715,0.0948
349,0.125151,0.0982
350,0.125582,0.1024
351,0.126007,0.1075
352,0.126425,0.1135
353,0.126838,0.1203
354,0.127245,0.1279
355,0.127647,0.1364
356,0.128044,0.1456
357,0.128437,0.1556
358,0.128825,0.1663
359,0.129210,0.1778
360,0.129592,0.1899
361,0.129521,0.2026
362,0.129447,0.2160
363,0.129373,0.2300
364,0.129298,0.2445
365,0.129225,0.2595
366,0.129154,0.2750
367,0.129086,0.2910
368,0.129022,0.3073
369,0.128962,0.3240
370,0.128906,0.3410
371,0.128855,0.3583
372,0.128807,0.3758
373,0.128762,0.3935
374,0.128720,0.4114
375,0.128679,0.4293
376,0.128637,0.4473
377,0.128595,0.4653
378,0.128550,0.4832
379,0.127368,0.5011
380,0.126186,0.5189
381,0.125002,0.5364
382,0.123816,0.5538
383,0.122626,0.5709
384,0.121432,0.5877
385,0.120230,0.6041
386,0.119018,0.6202
387,0.117791,0.6358
388,0.116545,0.6510
389,0.115269,0.6657
390,0.113955,0.6798
391,0.112589,0.6934
392,0.111152,0.7063
393,0.109623,0.7187
394,0.107975,0.7303
395,0.106173,0.7412
396,0.104177,0.7515
