step,phi,danger
0,0.096758,0.3105
1,0.095958,0.3163
2,0.095239,0.3258
3,0.094628,0.3387
4,0.094116,0.3548
5,0.117162,0.3739
6,0.117284,0.3954
7,0.117508,0.4189
8,0.117924,0.4438
9,0.118577,0.4694
10,0.119483,0.4950
11,0.118816,0.5200
12,0.118063,0.5435
13,0.117202,0.5650
14,0.116234,0.5837
15,0.115165,0.5993
16,0.113979,0.6111
17,0.112678,0.6190
18,0.111384,0.6226
19,0.109987,0.6218
20,0.108431,0.6169
21,0.106690,0.6078
22,0.104759,0.5949
23,0.102770,0.5785
24,0.100477,0.5593
25,0.099503,0.5375
26,0.099576,0.5140
27,0.100781,0.4892
28,0.102043,0.4638
29,0.103268,0.4385
30,0.104453,0.4137
31,0.105584,0.3902
32,0.106648,0.3683
33,0.107634,0.3485
34,0.108537,0.3313
35,0.109355,0.3169
36,0.110093,0.3056
37,0.110733,0.2976
38,0.111281,0.2931
39,0.111762,0.2921
40,0.112199,0.2946
41,0.112668,0.3006
42,0.113277,0.3100
43,0.113871,0.3226
44,0.114441,0.3381
45,0.114993,0.3563
46,0.115526,0.3768
47,0.116035,0.3992
48,0.116516,0.4230
49,0.116964,0.4477
50,0.117375,0.4728
51,0.117744,0.4976
52,0.116390,0.5216
53,0.114959,0.5442
54,0.113440,0.5647
55,0.111823,0.5826
56,0.110093,0.5974
57,0.108259,0.6086
58,0.106390,0.6160
59,0.104333,0.6193
60,0.102050,0.6183
61,0.099600,0.6131
62,0.099690,0.6038
63,0.099786,0.5907
64,0.099887,0.5740
65,0.099999,0.5544
66,0.100178,0.5323
67,0.100359,0.5084
68,0.101603,0.4834
69,0.102786,0.4580
70,0.103907,0.4329
71,0.104963,0.4088
72,0.105949,0.3863
73,0.106864,0.3661
74,0.107704,0.3485
75,0.108469,0.3340
76,0.109164,0.3228
77,0.109790,0.3152
78,0.110355,0.3112
79,0.110866,0.3107
80,0.111330,0.3138
81,0.111957,0.3200
82,0.112568,0.3293
83,0.113174,0.3412
84,0.113776,0.3554
85,0.114376,0.3714
86,0.114977,0.3888
87,0.115574,0.4073
88,0.116158,0.4263
89,0.116719,0.4454
90,0.117245,0.4642
91,0.117730,0.4822
92,0.118167,0.4992
93,0.116875,0.5147
94,0.115503,0.5284
95,0.114039,0.5400
96,0.112566,0.5492
97,0.110993,0.5557
98,0.109270,0.5595
99,0.107365,0.5603
100,0.105264,0.5581
101,0.103032,0.5530
102,0.100458,0.5449
103,0.100433,0.5340
104,0.100405,0.5206
105,0.100404,0.5050
106,0.101558,0.4876
107,0.102675,0.4688
108,0.103757,0.4492
109,0.104801,0.4293
110,0.105800,0.4098
111,0.106744,0.3911
112,0.107624,0.3740
113,0.108433,0.3590
114,0.109167,0.3465
115,0.109826,0.3370
116,0.110412,0.3308
117,0.110927,0.3281
118,0.111376,0.3290
119,0.111766,0.3335
120,0.112182,0.3415
121,0.112671,0.3526
122,0.113145,0.3666
123,0.113619,0.3830
124,0.114110,0.4012
125,0.114636,0.4207
126,0.115204,0.4409
127,0.115805,0.4612
128,0.116419,0.4809
129,0.117023,0.4995
130,0.115904,0.5164
131,0.114701,0.5313
132,0.113394,0.5438
133,0.111964,0.5535
134,0.110389,0.5602
135,0.108642,0.5639
136,0.106706,0.5644
137,0.104599,0.5619
138,0.102192,0.5564
139,0.100556,0.5482
140,0.100511,0.5373
141,0.100545,0.5242
142,0.100566,0.5091
143,0.101645,0.4923
144,0.102705,0.4743
145,0.103750,0.4554
146,0.104752,0.4360
147,0.105719,0.4165
148,0.106653,0.3974
149,0.107553,0.3792
150,0.108412,0.3622
151,0.109220,0.3468
152,0.109970,0.3335
153,0.110657,0.3227
154,0.111277,0.3147
155,0.111831,0.3098
156,0.112318,0.3082
157,0.112743,0.3102
158,0.113107,0.3157
159,0.113410,0.3249
160,0.113830,0.3375
161,0.114198,0.3534
162,0.114508,0.3723
163,0.114771,0.3936
164,0.115009,0.4170
165,0.115262,0.4418
166,0.115574,0.4674
167,0.116020,0.4930
168,0.114919,0.5180
169,0.113820,0.5417
170,0.112665,0.5634
171,0.111408,0.5824
172,0.110014,0.5982
173,0.108456,0.6103
174,0.106749,0.6185
175,0.104856,0.6224
176,0.102678,0.6221
177,0.100156,0.6174
178,0.100157,0.6087
179,0.100191,0.5960
180,0.100251,0.5800
181,0.100282,0.5609
182,0.100281,0.5393
183,0.100252,0.5159
184,0.101265,0.4912
185,0.102216,0.4658
186,0.103181,0.4405
187,0.104159,0.4157
188,0.105139,0.3920
189,0.106112,0.3699
190,0.107058,0.3500
191,0.107955,0.3325
192,0.108786,0.3179
193,0.109544,0.3064
194,0.110224,0.2981
195,0.110827,0.2933
196,0.111357,0.2921
197,0.111821,0.2943
198,0.112226,0.3000
199,0.112730,0.3091
200,0.113218,0.3215
201,0.113677,0.3368
202,0.114120,0.3547
203,0.114557,0.3751
204,0.114999,0.3973
205,0.115453,0.4210
206,0.115915,0.4457
207,0.116379,0.4708
208,0.116833,0.4957
209,0.115595,0.5197
210,0.114285,0.5424
211,0.112884,0.5631
212,0.111377,0.5813
213,0.109746,0.5963
214,0.107971,0.6079
215,0.106065,0.6156
216,0.104036,0.6192
217,0.101755,0.6186
218,0.099246,0.6137
219,0.099291,0.6047
220,0.099337,0.5918
221,0.099378,0.5755
222,0.099420,0.5560
223,0.099523,0.5341
224,0.099643,0.5103
225,0.100831,0.4854
226,0.101987,0.4600
227,0.103110,0.4349
228,0.104192,0.4107
229,0.105220,0.3880
230,0.106181,0.3676
231,0.107067,0.3498
232,0.107870,0.3350
233,0.108589,0.3236
234,0.109226,0.3157
235,0.109782,0.3114
236,0.110263,0.3106
237,0.110674,0.3134
238,0.111117,0.3194
239,0.111595,0.3285
240,0.112048,0.3402
241,0.112519,0.3542
242,0.113032,0.3701
243,0.113607,0.3874
244,0.114244,0.4058
245,0.114919,0.4247
246,0.115599,0.4439
247,0.116252,0.4627
248,0.116857,0.4808
249,0.117401,0.4979
250,0.116209,0.5135
251,0.114927,0.5274
252,0.113541,0.5391
253,0.112093,0.5485
254,0.110554,0.5553
255,0.108850,0.5593
256,0.106948,0.5603
257,0.104814,0.5584
258,0.102505,0.5535
259,0.099894,0.5456
260,0.099794,0.5350
261,0.099683,0.5218
262,0.099583,0.5063
263,0.100639,0.4890
264,0.101713,0.4703
265,0.102809,0.4508
266,0.103914,0.4309
267,0.104998,0.4113
268,0.106032,0.3926
269,0.106994,0.3753
270,0.107873,0.3601
271,0.108664,0.3474
272,0.109366,0.3376
273,0.109980,0.3311
274,0.110510,0.3282
275,0.110960,0.3288
276,0.111336,0.3330
277,0.111663,0.3407
278,0.112091,0.3516
279,0.112490,0.3654
280,0.112896,0.3816
281,0.113339,0.3997
282,0.113858,0.4191
283,0.114470,0.4393
284,0.115151,0.4596
285,0.115858,0.4793
286,0.116550,0.4980
287,0.115511,0.5151
288,0.114374,0.5302
289,0.113118,0.5429
290,0.111727,0.5528
291,0.110181,0.5598
292,0.108456,0.5637
293,0.106519,0.5645
294,0.104410,0.5622
295,0.102010,0.5570
296,0.100378,0.5489
297,0.100317,0.5383
298,0.100346,0.5253
299,0.100364,0.5103
300,0.101436,0.4937
301,0.102490,0.4758
302,0.103536,0.4569
303,0.104546,0.4375
304,0.105531,0.4181
305,0.106493,0.3989
306,0.107424,0.3806
307,0.108314,0.3635
308,0.109152,0.3479
309,0.109928,0.3345
310,0.110636,0.3234
311,0.111276,0.3152
312,0.111847,0.3100
313,0.112354,0.3082
314,0.112799,0.3099
315,0.113184,0.3152
316,0.113513,0.3240
317,0.113950,0.3364
318,0.114356,0.3520
319,0.114712,0.3707
320,0.115028,0.3918
321,0.115323,0.4151
322,0.115626,0.4398
323,0.115966,0.4653
324,0.116403,0.4910
325,0.115263,0.5161
326,0.114112,0.5399
327,0.112905,0.5617
328,0.111603,0.5810
329,0.110173,0.5970
330,0.108585,0.6095
331,0.106838,0.6180
332,0.104930,0.6223
333,0.102744,0.6223
334,0.100222,0.6179
335,0.100231,0.6095
336,0.100276,0.5972
337,0.100366,0.5814
338,0.100438,0.5625
339,0.100492,0.5411
340,0.100532,0.5178
341,0.101633,0.4932
342,0.102680,0.4679
343,0.103729,0.4425
344,0.104778,0.4176
345,0.105795,0.3938
346,0.106774,0.3716
347,0.107705,0.3515
348,0.108578,0.3338
349,0.109387,0.3190
350,0.110128,0.3072
351,0.110800,0.2987
352,0.111407,0.2936
353,0.111953,0.2920
354,0.112448,0.2940
355,0.112893,0.2995
356,0.113440,0.3083
357,0.113996,0.3204
358,0.114528,0.3354
359,0.115043,0.3532
360,0.115542,0.3734
361,0.116026,0.3955
362,0.116495,0.4191
363,0.116944,0.4437
364,0.117369,0.4688
365,0.117766,0.4937
366,0.116453,0.5179
367,0.115070,0.5407
368,0.113604,0.5616
369,0.112040,0.5799
370,0.110362,0.5952
371,0.108550,0.6071
372,0.106608,0.6151
373,0.104559,0.6191
374,0.102265,0.6188
375,0.099738,0.6142
376,0.099806,0.6056
377,0.099882,0.5930
378,0.099965,0.5769
379,0.100055,0.5577
380,0.100211,0.5359
381,0.100387,0.5123
382,0.101633,0.4874
383,0.102825,0.4620
384,0.103960,0.4368
385,0.105034,0.4125
386,0.106042,0.3898
387,0.106979,0.3691
388,0.107844,0.3511
389,0.108634,0.3360
390,0.109353,0.3243
391,0.110004,0.3162
392,0.110591,0.3116
393,0.111120,0.3106
394,0.111600,0.3131
395,0.112117,0.3188
396,0.112700,0.3276
397,0.113261,0.3391
398,0.113825,0.3530
399,0.114394,0.3687
400,0.114965,0.3860
401,0.115536,0.4043
402,0.116102,0.4232
403,0.116652,0.4423
404,0.117176,0.4612
405,0.117665,0.4794
406,0.118114,0.4966
407,0.116843,0.5123
408,0.115495,0.5263
409,0.114059,0.5383
410,0.112568,0.5479
411,0.111020,0.5549
412,0.109323,0.5591
413,0.107440,0.5604
414,0.105334,0.5587
415,0.103053,0.5540
416,0.100485,0.5463
417,0.100463,0.5359
418,0.100437,0.5229
419,0.100417,0.5076
420,0.101543,0.4905
421,0.102649,0.4719
422,0.103723,0.4524
423,0.104765,0.4325
424,0.105771,0.4128
425,0.106726,0.3940
426,0.107621,0.3766
427,0.108448,0.3612
428,0.109201,0.3483
429,0.109879,0.3383
430,0.110483,0.3315
431,0.111016,0.3283
432,0.111481,0.3286
433,0.111885,0.3325
434,0.112245,0.3400
435,0.112721,0.3506
436,0.113185,0.3642
437,0.113648,0.3802
438,0.114125,0.3982
439,0.114633,0.4176
440,0.115184,0.4377
441,0.115773,0.4580
442,0.116381,0.4778
443,0.116986,0.4966
444,0.115875,0.5138
445,0.114682,0.5291
446,0.113386,0.5420
447,0.111968,0.5521
448,0.110404,0.5593
449,0.108666,0.5635
450,0.106723,0.5645
451,0.104604,0.5625
452,0.102202,0.5575
453,0.100567,0.5497
454,0.100509,0.5392
455,0.100535,0.5264
456,0.100560,0.5116
457,0.101641,0.4951
458,0.102687,0.4772
459,0.103734,0.4584
460,0.104735,0.4391
461,0.105701,0.4196
462,0.106634,0.4004
463,0.107535,0.3820
464,0.108395,0.3648
