step,phi,danger
0,0.095483,0.5590
1,0.092233,0.5706
2,0.089324,0.5819
3,0.087119,0.5924
4,0.085843,0.6019
5,0.105737,0.6099
6,0.104010,0.6163
7,0.102023,0.6209
8,0.099726,0.6234
9,0.097092,0.6239
10,0.096880,0.6223
11,0.096720,0.6186
12,0.096986,0.6130
13,0.097476,0.6057
14,0.098048,0.5969
15,0.098631,0.5868
16,0.099175,0.5758
17,0.099661,0.5643
18,0.099367,0.5654
19,0.098601,0.5769
20,0.098651,0.5878
21,0.098671,0.5977
22,0.098675,0.6065
23,0.098662,0.6136
24,0.108491,0.0000
25,0.108770,0.0000
26,0.109047,0.0000
27,0.109468,0.0000
28,0.109944,0.0000
29,0.110147,0.0000
30,0.110385,0.0000
31,0.110667,0.0000
32,0.110995,0.0000
33,0.111367,0.0000
34,0.111780,0.0000
35,0.112554,0.0000
36,0.113325,0.0000
37,0.114055,0.0000
38,0.114759,0.0000
39,0.115469,0.0000
40,0.116149,0.0000
41,0.116800,0.0000
42,0.117427,0.0000
43,0.118033,0.0000
44,0.118560,0.0000
45,0.118461,0.0000
46,0.119042,0.0000
47,0.119818,0.0000
48,0.120535,0.0000
49,0.120498,0.0000
50,0.120671,0.0000
51,0.121258,0.0000
52,0.121744,0.0000
53,0.122606,0.0000
54,0.122571,0.0000
55,0.123024,0.0000
56,0.123725,0.0000
57,0.123946,0.0000
58,0.124854,0.0000
59,0.124780,0.0000
60,0.125377,0.0000
61,0.126092,0.0000
62,0.126194,0.0000
63,0.127131,0.0000
64,0.127010,0.0000
65,0.127699,0.0000
66,0.128219,0.0000
67,0.128597,0.0000
68,0.128840,0.0000
69,0.129315,0.0000
70,0.129785,0.0000
71,0.130251,0.0000
72,0.130716,0.0000
73,0.131179,0.0000
74,0.131191,0.0000
75,0.131203,0.0000
76,0.131214,0.0000
77,0.131224,0.0000
78,0.131235,0.0000
79,0.131245,0.0000
80,0.131255,0.0000
81,0.131264,0.0000
82,0.131274,0.0000
83,0.131283,0.0000
84,0.131292,0.0000
85,0.131302,0.0000
86,0.131310,0.0000
87,0.131319,0.0000
88,0.131328,0.0000
89,0.131336,0.0000
90,0.131344,0.0000
91,0.131352,0.0000
92,0.131360,0.0000
93,0.131367,0.0000
94,0.131374,0.0000
95,0.131381,0.0000
96,0.131388,0.0000
97,0.131395,0.0000
98,0.131401,0.0000
99,0.131407,0.0000
100,0.131413,0.0000
101,0.131419,0.0000
102,0.131424,0.0000
103,0.131429,0.0000
104,0.131434,0.0000
105,0.131439,0.0000
106,0.131443,0.0000
107,0.131447,0.0000
108,0.131451,0.0000
109,0.131455,0.0000
110,0.131458,0.0000
111,0.131461,0.0000
112,0.131464,0.0000
113,0.131466,0.0000
114,0.131469,0.0000
115,0.131471,0.0000
116,0.131472,0.0000
117,0.131474,0.0000
118,0.131475,0.0000
119,0.131476,0.0000
120,0.131477,0.0000
121,0.131478,0.0000
122,0.131478,0.0000
123,0.131478,0.0000
124,0.131478,0.0000
125,0.131478,0.0000
126,0.131478,0.0000
127,0.131477,0.0000
128,0.131477,0.0000
129,0.131476,0.0000
130,0.131475,0.0000
131,0.131474,0.0000
132,0.131473,0.0000
133,0.131471,0.0000
134,0.131470,0.0000
135,0.131468,0.0000
136,0.131466,0.0000
137,0.131465,0.0000
138,0.131463,0.0000
139,0.131461,0.0000
140,0.131459,0.0000
141,0.131457,0.0000
142,0.131454,0.0000
143,0.131452,0.0000
144,0.131450,0.0000
145,0.131447,0.0000
146,0.131445,0.0000
147,0.131442,0.0000
148,0.131440,0.0000
149,0.131437,0.0000
150,0.131435,0.0000
151,0.131432,0.0000
152,0.131429,0.0000
153,0.131426,0.0000
154,0.131423,0.0000
155,0.131420,0.0000
156,0.131418,0.0000
157,0.131415,0.0000
158,0.131411,0.0000
159,0.131408,0.0000
160,0.131405,0.0000
161,0.131402,0.0000
162,0.131399,0.0000
163,0.131396,0.0000
164,0.131392,0.0000
165,0.131389,0.0000
166,0.131385,0.0000
167,0.131382,0.0000
168,0.131379,0.0000
169,0.131375,0.0000
170,0.131371,0.0000
171,0.131368,0.0000
172,0.131364,0.0000
173,0.131361,0.0000
174,0.131357,0.0000
175,0.131353,0.0000
176,0.131349,0.0000
177,0.131346,0.0000
178,0.131342,0.0000
179,0.131338,0.0000
180,0.131334,0.0000
181,0.131330,0.0000
182,0.131327,0.0000
183,0.131323,0.0000
184,0.131319,0.0000
185,0.131315,0.0000
186,0.131311,0.0000
187,0.131307,0.0000
188,0.131310,0.0000
189,0.131317,0.0000
190,0.131325,0.0000
191,0.131332,0.0000
192,0.131339,0.0000
193,0.131346,0.0000
194,0.131353,0.0000
195,0.131360,0.0000
196,0.131367,0.0000
197,0.131374,0.0000
198,0.131380,0.0000
199,0.131387,0.0000
200,0.131393,0.0000
201,0.131374,0.0000
202,0.131503,0.0000
203,0.131307,0.0000
204,0.131338,0.0000
205,0.131369,0.0000
206,0.131391,0.0000
207,0.131407,0.0000
208,0.131420,0.0000
209,0.131431,0.0000
210,0.131440,0.0000
211,0.131447,0.0000
212,0.131454,0.0000
213,0.131435,0.0000
214,0.131526,0.0000
215,0.131373,0.0000
216,0.131402,0.0000
217,0.131431,0.0000
218,0.131451,0.0000
219,0.132150,0.6233
220,0.129364,0.6205
221,0.126741,0.6157
222,0.124376,0.6091
223,0.122328,0.6009
224,0.120920,0.5913
225,0.120054,0.5807
226,0.119297,0.5694
227,0.118357,0.5603
228,0.115866,0.5719
229,0.114500,0.5831
230,0.113172,0.5935
231,0.111840,0.6028
232,0.110482,0.6107
233,0.109018,0.6169
234,0.107381,0.6213
235,0.105527,0.6236
236,0.103434,0.6238
237,0.101092,0.6220
238,0.098493,0.6181
239,0.098611,0.6123
240,0.098836,0.6048
241,0.099183,0.5958
242,0.099612,0.5856
243,0.100060,0.5746
244,0.100477,0.5630
245,0.100004,0.5666
246,0.099404,0.5781
247,0.099235,0.5889
248,0.099077,0.5987
249,0.098997,0.6073
250,0.098973,0.6143
251,0.098954,0.6195
252,0.098908,0.6228
253,0.098827,0.6240
254,0.098731,0.6231
255,0.098663,0.6201
256,0.098772,0.6152
257,0.099038,0.6084
258,0.099381,0.6001
259,0.099777,0.5904
260,0.100184,0.5797
261,0.100564,0.5683
262,0.100685,0.5613
263,0.100017,0.5729
264,0.099874,0.5841
265,0.099806,0.5944
266,0.099731,0.6036
267,0.099670,0.6113
268,0.099616,0.6174
269,0.099555,0.6216
270,0.099480,0.6237
271,0.099398,0.6238
272,0.099342,0.6217
273,0.099344,0.6177
274,0.099558,0.6117
275,0.099817,0.6040
276,0.100110,0.5949
277,0.100420,0.5846
278,0.100722,0.5735
279,0.100997,0.5620
280,0.100582,0.5677
281,0.100270,0.5791
282,0.100308,0.5898
283,0.100277,0.5996
284,0.100217,0.6080
285,0.100143,0.6149
286,0.100059,0.6199
287,0.099965,0.6230
288,0.099864,0.6240
289,0.099777,0.6229
290,0.099717,0.6197
291,0.099836,0.6146
292,0.100041,0.6077
293,0.100273,0.5992
294,0.100532,0.5894
295,0.100795,0.5786
296,0.101039,0.5672
297,0.100987,0.5624
298,0.100486,0.5740
299,0.100489,0.5851
300,0.100502,0.5953
301,0.100455,0.6044
302,0.100378,0.6120
303,0.100285,0.6179
304,0.100180,0.6219
305,0.100066,0.6238
306,0.099951,0.6237
307,0.099867,0.6214
308,0.099883,0.6172
309,0.100086,0.6111
310,0.100309,0.6032
311,0.100546,0.5940
312,0.100789,0.5836
313,0.101022,0.5725
314,0.101233,0.5609
315,0.100662,0.5688
316,0.100449,0.5801
317,0.100504,0.5908
318,0.100474,0.6004
319,0.100398,0.6087
320,0.100301,0.6154
321,0.100189,0.6203
322,0.100066,0.6232
323,0.099952,0.6240
324,0.099874,0.6227
325,0.099828,0.6194
326,0.099990,0.6141
327,0.100196,0.6070
328,0.100422,0.5984
329,0.100663,0.5885
330,0.100905,0.5776
331,0.101133,0.5662
332,0.100973,0.5635
333,0.100344,0.5751
334,0.100330,0.5861
335,0.100308,0.5962
336,0.100228,0.6052
337,0.100123,0.6126
338,0.100013,0.6183
339,0.099913,0.6221
340,0.099809,0.6239
341,0.099703,0.6235
342,0.099634,0.6211
343,0.099688,0.6167
344,0.099877,0.6104
345,0.100101,0.6024
346,0.100354,0.5931
347,0.100626,0.5826
348,0.100896,0.5714
349,0.101145,0.5598
350,0.100401,0.5699
351,0.100039,0.5812
352,0.099957,0.5918
353,0.099845,0.6013
354,0.099729,0.6094
355,0.099622,0.6160
356,0.099514,0.6206
357,0.099401,0.6233
358,0.099280,0.6240
359,0.099172,0.6225
360,0.099110,0.6189
361,0.099277,0.6135
362,0.099500,0.6062
363,0.099784,0.5975
364,0.100115,0.5875
365,0.100463,0.5766
366,0.100796,0.5651
367,0.100505,0.5646
368,0.099697,0.5761
369,0.099460,0.5871
370,0.099254,0.5971
371,0.099088,0.6059
372,0.098982,0.6132
373,0.098911,0.6188
374,0.098842,0.6224
375,0.098754,0.6239
376,0.098644,0.6234
377,0.098561,0.6208
378,0.098627,0.6162
379,0.098843,0.6097
380,0.099155,0.6016
381,0.099548,0.5921
382,0.099978,0.5816
383,0.100399,0.5703
384,0.100738,0.5593
385,0.099711,0.5710
386,0.099181,0.5822
387,0.098939,0.5927
388,0.098806,0.6021
389,0.098803,0.6101
390,0.098861,0.6165
391,0.098908,0.6210
392,0.098912,0.6235
393,0.098870,0.6239
394,0.098813,0.6222
395,0.098791,0.6185
396,0.098967,0.6129
397,0.099200,0.6055
398,0.099506,0.5966
399,0.099869,0.5865
400,0.100254,0.5755
401,0.100623,0.5640
402,0.100200,0.5657
403,0.099415,0.5772
404,0.099320,0.5881
405,0.099299,0.5980
406,0.099352,0.6067
407,0.099426,0.6138
408,0.099479,0.6192
409,0.099491,0.6226
410,0.099460,0.6240
411,0.099396,0.6232
412,0.099344,0.6204
413,0.099425,0.6156
414,0.099592,0.6090
415,0.099795,0.6008
416,0.100042,0.5912
417,0.100325,0.5806
418,0.100622,0.5692
419,0.100766,0.5604
420,0.099921,0.5720
421,0.099706,0.5832
422,0.099756,0.5936
423,0.099806,0.6029
424,0.099845,0.6108
425,0.099856,0.6170
426,0.099839,0.6213
427,0.099798,0.6236
428,0.099726,0.6238
429,0.099650,0.6220
430,0.099616,0.6181
431,0.099756,0.6122
432,0.099913,0.6047
433,0.100100,0.5957
434,0.100322,0.5855
435,0.100570,0.5744
436,0.100823,0.5629
437,0.100318,0.5668
438,0.099838,0.5782
439,0.099914,0.5890
440,0.099961,0.5989
441,0.099991,0.6074
442,0.099996,0.6144
443,0.099967,0.6196
444,0.099901,0.6228
445,0.099800,0.6240
446,0.099680,0.6231
447,0.099580,0.6201
448,0.099635,0.6151
449,0.099767,0.6083
450,0.099925,0.5999
451,0.100122,0.5902
