step,phi,danger,depth,current_norm,chemical,pe
0,0.101184,0.1863,10.0000,0.3126,0.1000,0.0000
1,0.099246,0.1890,10.0000,0.3180,0.1000,0.0000
2,0.097324,0.1917,10.0000,0.3234,0.1000,0.0000
3,0.095857,0.1944,10.0000,0.3288,0.1000,0.0000
4,0.095027,0.1971,10.0000,0.3341,0.1000,0.0000
5,0.118187,0.1997,10.0000,0.3395,0.1000,0.0000
6,0.117890,0.2024,10.0000,0.3448,0.1000,0.0000
7,0.118003,0.2051,10.0000,0.3502,0.1000,0.0000
8,0.118356,0.2077,10.0000,0.3555,0.1000,0.0000
9,0.118772,0.2104,10.0000,0.3608,0.1000,0.0000
10,0.119235,0.2130,10.0000,0.3661,0.1000,0.0000
11,0.119813,0.2157,10.0000,0.3713,0.1000,0.0000
12,0.120405,0.2183,10.0000,0.3765,0.1000,0.0000
13,0.121003,0.2209,10.0000,0.3818,0.1000,0.0000
14,0.121610,0.2235,10.0000,0.3869,0.1000,0.0000
15,0.122223,0.2260,10.0000,0.3921,0.1000,0.0000
16,0.122838,0.2286,10.0000,0.3972,0.1000,0.0000
17,0.123453,0.2312,10.0000,0.4023,0.1000,0.0000
18,0.124067,0.2337,10.0000,0.4074,0.1000,0.0000
19,0.124679,0.2362,10.0000,0.4124,0.1000,0.0000
20,0.125288,0.2387,10.0000,0.4174,0.1000,0.0000
21,0.125897,0.2412,10.0000,0.4223,0.1000,0.0000
22,0.126504,0.2436,10.0000,0.4272,0.1000,0.0000
23,0.127112,0.2461,10.0000,0.4321,0.1000,0.0000
24,0.127720,0.2485,10.0000,0.4369,0.1000,0.0000
25,0.127875,0.2509,10.0000,0.4417,0.1000,0.0000
26,0.128018,0.2532,10.0000,0.4465,0.1000,0.0000
27,0.128160,0.2556,10.0000,0.4511,0.1000,0.0000
28,0.128298,0.2579,10.0000,0.4558,0.1000,0.0000
29,0.128435,0.2602,10.0000,0.4604,0.1000,0.0000
30,0.128568,0.2625,10.0000,0.4649,0.1000,0.0000
31,0.128700,0.2647,10.0000,0.4694,0.1000,0.0000
32,0.128828,0.2669,10.0000,0.4738,0.1000,0.0000
33,0.128953,0.2691,10.0000,0.4782,0.1000,0.0000
34,0.129075,0.2713,10.0000,0.4825,0.1000,0.0000
35,0.129193,0.2734,10.0000,0.4868,0.1000,0.0000
36,0.129307,0.2755,10.0000,0.4910,0.1000,0.0000
