step,phi,danger,altitude,wind_norm,pe
0,0.099557,0.4009,20.0000,0.2509,0.0000
1,0.098003,0.4052,20.0000,0.2552,0.0422
2,0.096185,0.4130,19.9999,0.2630,0.0000
3,0.095872,0.4242,19.9998,0.2742,0.0000
4,0.095384,0.4387,19.9996,0.2887,0.0001
5,0.118809,0.4562,19.9994,0.3062,0.0000
6,0.118798,0.4765,19.9992,0.3265,0.0000
7,0.119178,0.4994,19.9989,0.3493,0.0008
8,0.118026,0.5243,19.9986,0.3743,0.0000
9,0.116940,0.5511,19.9982,0.4011,0.0000
10,0.115838,0.5793,19.9978,0.4293,0.0000
11,0.114721,0.6085,19.9974,0.4585,0.0000
12,0.113579,0.6383,19.9969,0.4883,0.0000
13,0.112358,0.6683,19.9964,0.5183,0.0000
14,0.111025,0.6980,19.9959,0.5480,0.0000
15,0.109551,0.7271,19.9953,0.5770,0.0000
16,0.107918,0.7550,19.9947,0.6049,0.0000
17,0.106101,0.7814,19.9940,0.6314,0.0000
18,0.104072,0.8059,19.9933,0.6559,0.0000
19,0.101798,0.8282,19.9925,0.6782,0.0008
20,0.099239,0.8479,19.9918,0.6979,0.0000
21,0.098566,0.8648,19.9909,0.7147,0.0018
22,0.098426,0.8786,19.9901,0.7285,0.0000
23,0.098269,0.8891,19.9892,0.7390,0.0000
24,0.098130,0.8962,19.9882,0.7461,0.0000
25,0.098000,0.8997,19.9873,0.7496,0.0000
26,0.097883,0.8996,19.9862,0.7495,0.0000
27,0.097889,0.8960,19.9852,0.7459,0.0000
28,0.098055,0.8888,19.9841,0.7387,0.0000
29,0.098317,0.8782,19.9829,0.7280,0.0001
30,0.098587,0.8643,19.9818,0.7141,0.0000
31,0.098860,0.8473,19.9806,0.6971,0.0000
32,0.099137,0.8275,19.9793,0.6773,0.0001
33,0.099414,0.8051,19.9780,0.6549,0.0000
34,0.099685,0.7805,19.9767,0.6303,0.0000
35,0.099948,0.7540,19.9753,0.6039,0.0000
36,0.100200,0.7261,19.9739,0.5759,0.0000
