step,phi,danger,human_dist,pe,effort_norm
0,0.101660,0.2248,1.5504,0.0000,0.0000
20,0.099728,0.2060,1.5880,0.0314,0.1047
40,0.097459,0.1872,1.6256,0.0018,0.1989
60,0.095861,0.1685,1.6630,0.0033,0.2836
80,0.095926,0.1499,1.7003,0.0038,0.3595
100,0.120349,0.1313,1.7373,0.0046,0.4275
120,0.120938,0.1129,1.7742,0.0035,0.4880
140,0.121400,0.0946,1.8107,0.0086,0.5413
160,0.122000,0.0765,1.8470,0.0058,0.5875
180,0.122454,0.0586,1.8829,0.0093,0.6267
200,0.122955,0.0408,1.9184,0.0032,0.6590
220,0.123341,0.0232,1.9535,0.0074,0.6843
240,0.123654,0.0059,1.9882,0.0047,0.7025
260,0.123721,0.0000,2.0224,0.0075,0.7138
280,0.123672,0.0000,2.0561,0.0057,0.7181
300,0.123657,0.0000,2.0892,0.0074,0.7159
320,0.123666,0.0000,2.1217,0.0087,0.7073
340,0.123784,0.0000,2.1537,0.0103,0.6928
360,0.124486,0.0000,2.1850,0.0067,0.6731
380,0.125232,0.0000,2.2156,0.0127,0.6488
400,0.125962,0.0000,2.2455,0.0049,0.6206
420,0.126718,0.0000,2.2747,0.0051,0.5894
440,0.127482,0.0000,2.3031,0.0065,0.5559
460,0.128247,0.0000,2.3307,0.0056,0.5210
480,0.129004,0.0000,2.3575,0.0021,0.4854
500,0.129298,0.0000,2.3834,0.0051,0.4499
520,0.129562,0.0000,2.4085,0.0085,0.4151
540,0.129784,0.0000,2.4327,0.0057,0.3818
560,0.129968,0.0000,2.4559,0.0000,0.3504
580,0.130164,0.0000,2.4782,0.0069,0.3215
600,0.130268,0.0000,2.4996,0.0017,0.2954
620,0.130382,0.0000,2.5199,0.0047,0.2725
640,0.130433,0.0000,2.5393,0.0024,0.2528
660,0.130466,0.0000,2.5576,0.0000,0.2364
680,0.130702,0.0000,2.5749,0.0016,0.2099
700,0.130595,0.0000,2.5911,0.0025,0.2052
720,0.130541,0.0000,2.6063,0.0024,0.2017
740,0.130516,0.0000,2.6203,0.0000,0.1989
760,0.130620,0.0000,2.6333,0.0080,0.1962
780,0.130615,0.0000,2.6451,0.0023,0.1933
800,0.130738,0.0000,2.6558,0.0000,0.1898
820,0.130869,0.0000,2.6654,0.0006,0.1857
840,0.130719,0.0000,2.6738,0.0000,0.1807
860,0.130687,0.0000,2.6811,0.0000,0.1750
880,0.130716,0.0000,2.6871,0.0016,0.1684
900,0.130738,0.0000,2.6921,0.0019,0.1612
920,0.130802,0.0000,2.6958,0.0066,0.1534
940,0.130757,0.0000,2.6984,0.0000,0.1451
960,0.130795,0.0000,2.6997,0.0000,0.1367
980,0.130831,0.0000,2.6999,0.0006,0.1281
1000,0.130868,0.0000,2.6989,0.0023,0.1196
1020,0.130860,0.0000,2.6968,0.0005,0.1113
1040,0.130870,0.0000,2.6934,0.0000,0.1035
1060,0.130886,0.0000,2.6889,0.0006,0.0962
1080,0.130882,0.0000,2.6832,0.0000,0.0896
1100,0.130880,0.0000,2.6763,0.0000,0.0839
1120,0.130872,0.0000,2.6683,0.0000,0.0790
1140,0.130860,0.0000,2.6591,0.0000,0.0751
1160,0.130858,0.0000,2.6487,0.0014,0.0720
1180,0.130830,0.0000,2.6373,0.0006,0.0696
1200,0.130832,0.0000,2.6247,0.0021,0.0679
1220,0.130810,0.0000,2.6110,0.0018,0.0667
1240,0.130782,0.0000,2.5962,0.0000,0.0659
1260,0.130785,0.0000,2.5803,0.0000,0.0652
1280,0.130795,0.0000,2.5634,0.0000,0.0646
1300,0.130810,0.0000,2.5454,0.0000,0.0640
1320,0.130845,0.0000,2.5264,0.0023,0.0632
1340,0.130821,0.0000,2.5063,0.0000,0.0623
1360,0.130839,0.0000,2.4853,0.0005,0.0613
1380,0.130841,0.0000,2.4633,0.0000,0.0600
1400,0.130851,0.0000,2.4403,0.0000,0.0586
1420,0.130863,0.0000,2.4165,0.0000,0.0570
1440,0.130879,0.0000,2.3917,0.0000,0.0553
1460,0.130909,0.0000,2.3660,0.0016,0.0534
1480,0.130901,0.0000,2.3395,0.0000,0.0515
1500,0.130918,0.0000,2.3122,0.0000,0.0496
1520,0.130931,0.0000,2.2840,0.0000,0.0477
1540,0.130943,0.0000,2.2551,0.0000,0.0458
1560,0.130954,0.0000,2.2254,0.0000,0.0440
1580,0.130963,0.0000,2.1950,0.0000,0.0424
1600,0.130971,0.0000,2.1640,0.0000,0.0409
1620,0.130978,0.0000,2.1322,0.0000,0.0396
1640,0.130988,0.0000,2.0999,0.0000,0.0384
1660,0.131001,0.0000,2.0669,0.0000,0.0375
1680,0.131015,0.0000,2.0334,0.0000,0.0367
1700,0.131031,0.0003,1.9994,0.0000,0.0360
1720,0.131168,0.0176,1.9649,0.0006,0.0355
1740,0.131218,0.0350,1.9299,0.0015,0.0351
1760,0.131196,0.0527,1.8945,0.0000,0.0348
1780,0.131169,0.0706,1.8587,0.0000,0.0345
1800,0.131126,0.0887,1.8226,0.0000,0.0343
1820,0.131077,0.1069,1.7861,0.0006,0.0341
1840,0.131010,0.1253,1.7494,0.0000,0.0340
1860,0.130947,0.1438,1.7124,0.0000,0.0338
1880,0.130880,0.1624,1.6752,0.0000,0.0336
1900,0.130810,0.1811,1.6378,0.0000,0.0334
1920,0.130737,0.1999,1.6003,0.0000,0.0332
1940,0.130663,0.2187,1.5627,0.0000,0.0330
1960,0.130586,0.2375,1.5250,0.0000,0.0327
1980,0.130507,0.2564,1.4873,0.0000,0.0325
