step,phi,danger,altitude,attitude_norm,pe,gust_intensity
0,0.101476,0.3007,1.0000,0.0000,0.0000,0.3007
1,0.100081,0.3059,1.0000,0.0000,0.0838,0.3059
2,0.097598,0.3161,1.0000,0.0000,0.0098,0.3161
3,0.096892,0.3310,1.0000,0.0000,0.0028,0.3310
4,0.096240,0.3502,1.0000,0.0000,0.0021,0.3502
5,0.119947,0.3732,1.0000,0.0000,0.0000,0.3732
6,0.119797,0.3995,1.0000,0.0000,0.0000,0.3994
7,0.119917,0.4283,1.0000,0.0001,0.0000,0.4283
8,0.120177,0.4590,1.0000,0.0001,0.0000,0.4589
9,0.120463,0.4907,1.0000,0.0002,0.0004,0.4906
10,0.119154,0.5228,1.0000,0.0003,0.0000,0.5226
11,0.117844,0.5542,1.0000,0.0005,0.0004,0.5540
12,0.116516,0.5843,1.0000,0.0008,0.0020,0.5840
13,0.115169,0.6123,1.0000,0.0011,0.0000,0.6118
14,0.113807,0.6375,1.0000,0.0015,0.0004,0.6368
15,0.112401,0.6593,1.0000,0.0020,0.0024,0.6583
16,0.110952,0.6770,1.0000,0.0025,0.0000,0.6757
17,0.109426,0.6903,1.0000,0.0032,0.0000,0.6887
18,0.107944,0.6988,1.0000,0.0040,0.0000,0.6969
19,0.106352,0.7024,1.0000,0.0048,0.0000,0.7000
20,0.104625,0.7008,1.0000,0.0057,0.0000,0.6980
21,0.102726,0.6943,1.0000,0.0067,0.0000,0.6909
22,0.100776,0.6828,1.0000,0.0077,0.0000,0.6790
23,0.098584,0.6669,1.0000,0.0087,0.0000,0.6625
24,0.098861,0.6467,1.0000,0.0098,0.0007,0.6418
25,0.099149,0.6230,1.0000,0.0109,0.0027,0.6176
26,0.099442,0.5962,1.0000,0.0119,0.0004,0.5903
27,0.099735,0.5672,1.0000,0.0129,0.0004,0.5607
28,0.100030,0.5365,1.0000,0.0139,0.0000,0.5296
29,0.100321,0.5051,1.0000,0.0149,0.0004,0.4977
30,0.101676,0.4737,1.0000,0.0157,0.0004,0.4658
31,0.102965,0.4432,1.0000,0.0166,0.0004,0.4349
32,0.104183,0.4142,1.0000,0.0173,0.0000,0.4056
33,0.105325,0.3877,1.0000,0.0180,0.0000,0.3787
34,0.106390,0.3642,1.0000,0.0186,0.0000,0.3549
35,0.107379,0.3444,1.0000,0.0191,0.0000,0.3348
36,0.108291,0.3288,1.0000,0.0196,0.0000,0.3190
37,0.109129,0.3178,1.0000,0.0200,0.0000,0.3077
38,0.109897,0.3116,1.0000,0.0204,0.0000,0.3014
39,0.110598,0.3105,1.0000,0.0207,0.0000,0.3002
40,0.111239,0.3145,1.0000,0.0210,0.0000,0.3040
41,0.111844,0.3235,1.0000,0.0213,0.0000,0.3129
42,0.112582,0.3372,1.0000,0.0215,0.0004,0.3265
43,0.113169,0.3554,1.0000,0.0216,0.0000,0.3446
44,0.113566,0.3775,1.0000,0.0217,0.0000,0.3666
45,0.114001,0.4030,1.0000,0.0218,0.0000,0.3921
46,0.114435,0.4312,1.0000,0.0219,0.0024,0.4203
47,0.114867,0.4615,1.0000,0.0219,0.0031,0.4505
48,0.115250,0.4929,1.0000,0.0218,0.0000,0.4820
49,0.113741,0.5249,1.0000,0.0218,0.0000,0.5140
50,0.112171,0.5564,1.0000,0.0217,0.0004,0.5456
51,0.110480,0.5868,1.0000,0.0216,0.0004,0.5760
52,0.108638,0.6153,1.0000,0.0214,0.0004,0.6045
53,0.106623,0.6410,1.0000,0.0213,0.0004,0.6304
54,0.104398,0.6635,1.0000,0.0212,0.0000,0.6529
55,0.101917,0.6820,1.0000,0.0211,0.0000,0.6715
56,0.100236,0.6962,1.0000,0.0210,0.0024,0.6857
57,0.100134,0.7057,1.0000,0.0210,0.0031,0.6951
58,0.100039,0.7102,1.0000,0.0211,0.0004,0.6996
59,0.099965,0.7096,1.0000,0.0212,0.0000,0.6990
60,0.099930,0.7040,1.0000,0.0215,0.0004,0.6933
61,0.100008,0.6936,1.0000,0.0218,0.0007,0.6827
62,0.100157,0.6785,1.0000,0.0222,0.0000,0.6674
63,0.100332,0.6591,1.0000,0.0227,0.0004,0.6478
64,0.100506,0.6361,1.0000,0.0232,0.0000,0.6244
65,0.100695,0.6099,1.0000,0.0239,0.0000,0.5979
66,0.100881,0.5812,1.0000,0.0246,0.0000,0.5689
67,0.101064,0.5508,1.0000,0.0254,0.0000,0.5381
68,0.101239,0.5194,1.0000,0.0262,0.0000,0.5063
69,0.102479,0.4879,1.0000,0.0270,0.0000,0.4744
70,0.103651,0.4570,1.0000,0.0279,0.0011,0.4431
71,0.104749,0.4276,1.0000,0.0287,0.0004,0.4133
72,0.105784,0.4005,1.0000,0.0295,0.0000,0.3857
73,0.106745,0.3762,1.0000,0.0303,0.0000,0.3610
74,0.107633,0.3554,1.0000,0.0311,0.0000,0.3399
75,0.108455,0.3387,1.0000,0.0318,0.0000,0.3228
76,0.109212,0.3266,1.0000,0.0325,0.0000,0.3103
77,0.109907,0.3192,1.0000,0.0332,0.0000,0.3026
78,0.110539,0.3169,1.0000,0.0338,0.0000,0.3000
79,0.111114,0.3196,1.0000,0.0343,0.0000,0.3025
80,0.111636,0.3274,1.0000,0.0348,0.0000,0.3100
81,0.112270,0.3400,1.0000,0.0353,0.0000,0.3224
82,0.112876,0.3571,1.0000,0.0357,0.0000,0.3393
83,0.113439,0.3783,1.0000,0.0360,0.0000,0.3603
84,0.113958,0.4031,1.0000,0.0363,0.0000,0.3849
85,0.114436,0.4307,1.0000,0.0366,0.0000,0.4124
86,0.114872,0.4606,1.0000,0.0367,0.0004,0.4422
87,0.115272,0.4919,1.0000,0.0368,0.0000,0.4734
88,0.113797,0.5238,1.0000,0.0369,0.0100,0.5054
89,0.112284,0.5556,1.0000,0.0368,0.0000,0.5371
90,0.110499,0.5863,1.0000,0.0367,0.0004,0.5680
91,0.108673,0.6153,1.0000,0.0364,0.0000,0.5971
92,0.106662,0.6418,1.0000,0.0361,0.0000,0.6237
93,0.104442,0.6650,1.0000,0.0357,0.0000,0.6472
94,0.101966,0.6845,1.0000,0.0352,0.0000,0.6669
95,0.100284,0.6996,1.0000,0.0346,0.0000,0.6823
96,0.100166,0.7101,1.0000,0.0340,0.0000,0.6931
97,0.100070,0.7156,1.0000,0.0333,0.0000,0.6989
98,0.100003,0.7160,1.0000,0.0326,0.0000,0.6997
99,0.099962,0.7113,1.0000,0.0319,0.0004,0.6954
100,0.099993,0.7016,1.0000,0.0311,0.0011,0.6860
101,0.100136,0.6871,1.0000,0.0304,0.0000,0.6719
102,0.100311,0.6683,1.0000,0.0297,0.0004,0.6535
103,0.100486,0.6456,1.0000,0.0290,0.0004,0.6311
104,0.100674,0.6195,1.0000,0.0284,0.0024,0.6053
105,0.100853,0.5908,1.0000,0.0278,0.0000,0.5769
106,0.101064,0.5602,1.0000,0.0274,0.0000,0.5465
107,0.101247,0.5284,1.0000,0.0269,0.0004,0.5149
108,0.102492,0.4963,1.0000,0.0266,0.0000,0.4830
109,0.103677,0.4646,1.0000,0.0263,0.0000,0.4514
110,0.104790,0.4342,1.0000,0.0260,0.0000,0.4212
111,0.105833,0.4058,1.0000,0.0258,0.0004,0.3929
112,0.106805,0.3802,1.0000,0.0257,0.0000,0.3673
113,0.107710,0.3580,1.0000,0.0256,0.0000,0.3452
114,0.108544,0.3397,1.0000,0.0255,0.0000,0.3270
115,0.109315,0.3259,1.0000,0.0254,0.0004,0.3132
116,0.110025,0.3169,1.0000,0.0253,0.0000,0.3042
117,0.110677,0.3128,1.0000,0.0252,0.0007,0.3002
118,0.111273,0.3139,1.0000,0.0251,0.0028,0.3013
119,0.111821,0.3200,1.0000,0.0251,0.0007,0.3075
120,0.112371,0.3311,1.0000,0.0250,0.0000,0.3186
121,0.112973,0.3467,1.0000,0.0249,0.0000,0.3343
122,0.113537,0.3666,1.0000,0.0247,0.0000,0.3543
123,0.114056,0.3903,1.0000,0.0246,0.0000,0.3780
124,0.114532,0.4170,1.0000,0.0245,0.0000,0.4048
125,0.114967,0.4461,1.0000,0.0243,0.0000,0.4340
126,0.115364,0.4770,1.0000,0.0241,0.0000,0.4649
127,0.113895,0.5087,1.0000,0.0239,0.0004,0.4967
128,0.112326,0.5405,1.0000,0.0237,0.0004,0.5286
129,0.110632,0.5715,1.0000,0.0234,0.0000,0.5598
130,0.108792,0.6009,1.0000,0.0230,0.0000,0.5894
131,0.106780,0.6281,1.0000,0.0226,0.0000,0.6168
132,0.104558,0.6522,1.0000,0.0221,0.0000,0.6412
133,0.102081,0.6727,1.0000,0.0215,0.0000,0.6619
134,0.100399,0.6889,1.0000,0.0207,0.0000,0.6786
135,0.100280,0.7006,1.0000,0.0199,0.0000,0.6906
136,0.100181,0.7073,1.0000,0.0190,0.0007,0.6978
137,0.100111,0.7090,1.0000,0.0180,0.0020,0.7000
138,0.100075,0.7054,1.0000,0.0169,0.0000,0.6970
139,0.100056,0.6968,1.0000,0.0156,0.0000,0.6890
140,0.100187,0.6833,1.0000,0.0143,0.0000,0.6762
141,0.100345,0.6653,1.0000,0.0129,0.0000,0.6589
142,0.100521,0.6432,1.0000,0.0114,0.0020,0.6375
143,0.100698,0.6175,1.0000,0.0099,0.0000,0.6126
144,0.100908,0.5890,1.0000,0.0084,0.0000,0.5848
145,0.101103,0.5583,1.0000,0.0068,0.0004,0.5549
146,0.101294,0.5262,1.0000,0.0052,0.0011,0.5235
147,0.102551,0.4934,1.0000,0.0037,0.0000,0.4916
148,0.103758,0.4609,1.0000,0.0022,0.0000,0.4599
149,0.104889,0.4295,1.0000,0.0007,0.0045,0.4292
150,0.105904,0.4007,1.0000,0.0008,0.0004,0.4003
151,0.106914,0.3750,1.0000,0.0022,0.0000,0.3739
152,0.107821,0.3526,1.0000,0.0035,0.0000,0.3508
153,0.108655,0.3339,1.0000,0.0048,0.0004,0.3315
154,0.109419,0.3195,1.0000,0.0061,0.0000,0.3165
155,0.110121,0.3098,1.0000,0.0073,0.0020,0.3062
156,0.110762,0.3050,1.0000,0.0084,0.0020,0.3008
157,0.111362,0.3053,1.0000,0.0095,0.0000,0.3005
158,0.111903,0.3106,1.0000,0.0106,0.0000,0.3053
159,0.112419,0.3209,1.0000,0.0116,0.0000,0.3151
160,0.113020,0.3359,1.0000,0.0126,0.0000,0.3296
161,0.113577,0.3553,1.0000,0.0135,0.0000,0.3485
162,0.114092,0.3784,1.0000,0.0144,0.0000,0.3712
163,0.114565,0.4049,1.0000,0.0153,0.0024,0.3973
164,0.115011,0.4339,1.0000,0.0161,0.0023,0.4259
165,0.115401,0.4649,1.0000,0.0168,0.0004,0.4564
166,0.115747,0.4969,1.0000,0.0175,0.0000,0.4881
167,0.114290,0.5291,1.0000,0.0182,0.0000,0.5201
168,0.112745,0.5609,1.0000,0.0188,0.0000,0.5515
169,0.111095,0.5913,1.0000,0.0193,0.0000,0.5816
170,0.109319,0.6196,1.0000,0.0198,0.0004,0.6097
171,0.107392,0.6451,1.0000,0.0203,0.0004,0.6349
172,0.105276,0.6671,1.0000,0.0207,0.0007,0.6567
173,0.102933,0.6851,1.0000,0.0212,0.0007,0.6745
