step,phi,danger,speed,slip,friction,pe
0,0.098859,0.5200,0.0000,0.0000,0.3500,0.0000
1,0.096327,0.5200,0.0117,0.0000,0.3500,0.0162
2,0.093545,0.5200,0.0222,0.0000,0.3500,0.0001
3,0.091176,0.5200,0.0326,0.0000,0.3500,0.0000
4,0.088901,0.5200,0.0431,0.0000,0.3500,0.0000
5,0.108472,0.5200,0.0536,0.0000,0.3500,0.0000
6,0.105927,0.5200,0.0641,0.0000,0.3500,0.0000
7,0.103450,0.5200,0.0746,0.0000,0.3500,0.0000
8,0.100914,0.5200,0.0851,0.0000,0.3500,0.0001
9,0.098172,0.5200,0.0956,0.0000,0.3500,0.0000
10,0.097967,0.5200,0.1061,0.0000,0.3500,0.0000
11,0.097864,0.5200,0.1166,0.0000,0.3500,0.0000
12,0.097872,0.5200,0.1271,0.0000,0.3500,0.0000
13,0.097918,0.5200,0.1375,0.0000,0.3500,0.0000
14,0.098022,0.5200,0.1480,0.0000,0.3500,0.0000
15,0.098135,0.5200,0.1585,0.0000,0.3500,0.0000
16,0.098288,0.5200,0.1690,0.0000,0.3500,0.0000
17,0.098441,0.5200,0.1795,0.0000,0.3500,0.0000
18,0.098590,0.5200,0.1900,0.0000,0.3500,0.0000
19,0.098735,0.5200,0.2005,0.0000,0.3500,0.0000
20,0.098878,0.5200,0.2110,0.0000,0.3500,0.0000
21,0.106228,0.0000,0.2215,0.0000,1.0000,0.0000
22,0.105701,0.0000,0.2319,0.0000,1.0000,0.0000
23,0.106019,0.0000,0.2424,0.0000,1.0000,0.0000
24,0.106536,0.0000,0.2529,0.0000,1.0000,0.0000
25,0.107131,0.0000,0.2634,0.0000,1.0000,0.0000
26,0.107780,0.0000,0.2739,0.0000,1.0000,0.0000
27,0.108457,0.0000,0.2844,0.0000,1.0000,0.0000
28,0.109150,0.0000,0.2949,0.0000,1.0000,0.0000
29,0.109851,0.0000,0.3054,0.0000,1.0000,0.0000
30,0.110554,0.0000,0.3159,0.0000,1.0000,0.0000
31,0.111255,0.0000,0.3263,0.0000,1.0000,0.0000
32,0.111953,0.0000,0.3368,0.0000,1.0000,0.0000
33,0.112685,0.0000,0.3473,0.0000,1.0000,0.0000
34,0.113430,0.0000,0.3578,0.0000,1.0000,0.0000
35,0.114156,0.0000,0.3683,0.0000,1.0000,0.0000
36,0.114862,0.0000,0.3788,0.0000,1.0000,0.0000
37,0.115550,0.0000,0.3893,0.0000,1.0000,0.0000
38,0.116222,0.0000,0.3998,0.0000,1.0000,0.0000
39,0.116878,0.0000,0.4103,0.0000,1.0000,0.0000
40,0.117520,0.0000,0.4207,0.0000,1.0000,0.0000
41,0.118148,0.0000,0.4312,0.0000,1.0000,0.0000
42,0.118762,0.0000,0.4417,0.0000,1.0000,0.0000
43,0.119337,0.0000,0.4522,0.0000,1.0000,0.0000
44,0.119655,0.0000,0.4627,0.0000,1.0000,0.0000
45,0.119912,0.0000,0.4732,0.0000,1.0000,0.0000
46,0.120264,0.0000,0.4837,0.0000,1.0000,0.0000
47,0.120668,0.0000,0.4942,0.0000,1.0000,0.0000
48,0.121097,0.0000,0.5047,0.0000,1.0000,0.0000
49,0.121538,0.0000,0.5151,0.0000,1.0000,0.0000
50,0.121986,0.0000,0.5256,0.0000,1.0000,0.0000
51,0.122437,0.0000,0.5361,0.0000,1.0000,0.0000
52,0.122888,0.0000,0.5466,0.0000,1.0000,0.0000
53,0.123339,0.0000,0.5571,0.0000,1.0000,0.0000
54,0.123790,0.0000,0.5676,0.0000,1.0000,0.0000
55,0.124241,0.0000,0.5781,0.0000,1.0000,0.0000
56,0.124691,0.0000,0.5886,0.0000,1.0000,0.0000
57,0.125142,0.0000,0.5991,0.0000,1.0000,0.0000
58,0.125592,0.0000,0.6095,0.0000,1.0000,0.0000
59,0.126043,0.0000,0.6200,0.0000,1.0000,0.0000
60,0.126494,0.0000,0.6305,0.0000,1.0000,0.0000
61,0.126945,0.0000,0.6410,0.0000,1.0000,0.0000
62,0.127396,0.0000,0.6515,0.0000,1.0000,0.0000
63,0.127848,0.0000,0.6620,0.0000,1.0000,0.0000
64,0.128300,0.0000,0.6725,0.0000,1.0000,0.0000
65,0.128753,0.0000,0.6830,0.0000,1.0000,0.0000
66,0.129206,0.0000,0.6934,0.0000,1.0000,0.0000
67,0.129660,0.0000,0.7039,0.0000,1.0000,0.0000
68,0.130114,0.0000,0.7144,0.0000,1.0000,0.0000
69,0.130569,0.0000,0.7249,0.0000,1.0000,0.0000
70,0.131025,0.0000,0.7354,0.0000,1.0000,0.0000
71,0.131030,0.0000,0.7459,0.0000,1.0000,0.0000
72,0.131036,0.0000,0.7564,0.0000,1.0000,0.0000
73,0.131042,0.0000,0.7669,0.0000,1.0000,0.0000
74,0.131047,0.0000,0.7774,0.0000,1.0000,0.0000
75,0.131053,0.0000,0.7878,0.0000,1.0000,0.0000
76,0.131058,0.0000,0.7983,0.0000,1.0000,0.0000
